subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MGMT,3200,Corporate Entrepreneurship,3.,Lecture 3.,,,,Sophomore classification,"Introduces entrepreneurial approaches aimed at the identification, development and exploitation of technical and organizational innovations, the management of new product or process developments, and the effective management of new ventures. Focuses on mid-size to large corporations, especially in the manufacturing and service industries. Develops an awareness and understanding of the range, scope, and complexity of issues related to the creation of a corporate environment that is supportive of entrepreneurial endeavors as well as the effective implementation of technological and organizational innovations in corporate settings.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,3700,Managing Organizations,3.,Lecture 3.,,,,Sophomore classification,"Introduction to management as a field and function within organizations. Provides an overview of what managers do in organizations, including how they deal with multiple stakeholders; make decisions about organizational goals, strategies, and structures that align with the external and internal environment; as well as how they lead and manage human resources effectively.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,3710,Organizational Behavior,3.,Lecture 3.,,,,Sophomore classification,"Introduction to the attitudes and behaviors of individuals and groups in organizations, as well as their antecedents: e.g., individual characteristics, interpersonal processes, manager and leader influences, and organizational characteristics and practices. Builds awareness of one's own and others' characteristics, attitudes, behaviors, and interpersonal and decision-making skills to improve as an employee and a manager.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,3720,Ethical and Responsible Management,3.,Lecture 3.,,,,Sophomore classification,"Introduces the many aspects of ethical and responsible management in today's organization, including the ethical implications of business decision-making (and the implications of having multiple stakeholders); corporate social responsibility; ethical leadership and other leadership styles as they pertain to responsible management; and the role of corporate governance and ethical codes in developing and institutionalizing an ethical organization. Builds ethical decision-making strategies and awareness of one's own ethical leadership philosophy.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,3770,Competitive Strategy,3.,Lecture 3.,,,,,"Developing competitive strategy and achieving competitive advantage in firms, including: industry analysis, generic strategies, hypercompetition, competing against time, and building distinctive capabilities.",Fall,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,3810,Managing Family Businesses,3.,Lecture 3.,,,,Sophomore classification,Introduction to the important role family businesses play in the domestic and global economies as well as the complex and unique challenges and opportunities encountered by such businesses and their family members and other employees. Explores best practices for successfully managing family businesses.,,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4140,International Management,3.,Lecture 3.,,,,Sophomore classification,"Explains complexities managers face when doing business in countries where political, legal, economic, and cultural systems are different and require making decisions about the change, innovation, or adaptation needed to successfully formulate strategies for entering and operating in international markets.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4150,Managing New Ventures,3.,Lecture 3.,,,,,"Examination of business problems and main issues concerning new ventures. Students work in teams to identify problems in growing and new firms. The emphasis is on analyzing and solving an existing business problem. Includes a field project, a report, and a presentation to a business owner.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4190,Social Responsibility of Business,3.,Lecture 3.,,,,,"A consideration of the role of business in society. Critical analysis of ethical, managerial, and public issues as they affect the corporation.",Spring,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4210X,Personality and Management,3.,Lecture 3.,,,,MGMT 3710,"Surveys the literature relating to personality, individual differences, and management. Explores the significant implications of personality for important topics in human resource management, organizational behavior, and strategic management, as well as the other functional areas of business, including leadership, motivation, perception, decision making, organizational citizenship behavior, job satisfaction, and much, much more. Allows students to explore their own personalities using rigorous academic measurement scales and discover what academic research says about how personality is related to a variety of management topics.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4220,Negotiation and Conflict Resolution,3.,Lecture 3.,,,,MGMT 3700 or MGMT 3710,"Introduces the theory and practice of negotiation (i.e., the art and science of securing an agreement between two or more interdependent parties) in a variety of settings, especially those faced by managers and professionals in organizations. Focuses on understanding the behavior of individuals, groups and organizations in the context of competitive situations, and the underlying interdependent relationships and processes. Builds analytical skills needed to discover optimal solutions to problems and a broad array of negotiation skills needed in order for those solutions to be accepted and implemented.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4510X,Current Issues in Human Resource Management,3.,Lecture 3.,,,,MGMT 4710,"Designed to complement the required curriculum in the Human Resource Management (HRM) major. Explores a rotating selection of cutting edge and timely topics in the area of HRM, with an emphasis on the application of HRM knowledge and skills to the challenges facing today’s organizations. Develops an awareness and understanding of the range, scope, and complexity of issues related to managing human resources in the modern (and post-pandemic) organization. Opportunities to apply introduced HRM knowledge, skills, and tools through class projects and exercises.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4520X,Current Issues in Management,3.,Lecture 3.,,,,MGMT 3700,"Designed to complement the required curriculum in the Management (MGMT) major. Explores a rotating selection of cutting edge and timely topics in the area of management, with an emphasis on the application of managerial knowledge and skills to the challenges facing today's organizations. Develops an awareness and understanding of the range, scope, and complexity of issues related to managing in the modern (and post-pandemic) organization. Opportunities to apply introduced managerial knowledge, skills, and tools through class projects and exercises.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4530X,HRM Professional Certification Preparation,1.,Lecture 1.,,,True,MGMT 4710 and Junior Standing,Achieving professional certification signals that an individual possesses a specific set of skills and knowledge within their field and enhances their credibility and marketability to potential employers. This course advances student readiness for careers in HRM by furthering their preparation to earn a professional certification.,"Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4700,Leadership and Change Management,3.,Lecture 3.,,,,MGMT 3700 or MGMT 3710,"Focuses on the practical application of leadership skills required in today's evolving business environment, including the need to effectively manage change. Develops through multiple hands-on activities an understanding of how leaders are able to inspire and lead their peers, direct reports, as well as themselves, and how leaders can create a culture that supports and inspires change within an organization.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4710,Introduction to Human Resource Management,3.,Lecture 3.,,,,MGMT 3710 and STAT 2260 and ENGL 2500,"Introduces the field of human resource management (HRM) and its relevance to managers, employees, and organizational strategic goal achievement. Explains how HRM practices can be a source of competitive advantage for organizations and develops knowledge and skills in the functional areas of HRM, including job analysis, selection, recruitment, compensation, and training and development. Builds skills critical to HRM (and other) professionals, such as communication, feedback, and teamwork skills.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4720,Building Inclusive Work Cultures,3.,Lecture 3.,,,,Junior classification or above,"Introduces the importance of building work cultures that create a shared sense of inclusion and belongingness. Provides tools to effectively manage legal, ethical, media, and marketing issues in this area as well as implement organizational changes that enhance member belonging. Fosters students' abilities to work within and lead teams and organizations and develops critical thinking about inclusion and belonging in contemporary organizations. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4730,Evidence-Based Decision Making in Human Resource Management,3.,Lecture 3.,,,,COMS 1130 and ENGL 2500 and STAT 2260 and MGMT 3710,"Focuses on evidence-based analysis of short- and long-term consequences of specific talent management practices on the organization and on society as a whole. Introduces, and provides hands-on experience with, measurement and analytic techniques applicable to business professionals. Builds knowledge and skills to describe, diagnose and improve processes pertaining to planning, recruiting, selecting, training, and developing talent in an organization as well as compensating, retaining, and managing the performance and careers of a diverse and talented workforce.",Fall,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4740,Compensation and Benefits,3.,Lecture 3.,,,,MGMT 4710,"Introduces the fundamental elements of employee compensation and benefits (including strategies, structures, and practices), within the larger context of total rewards. Discusses impact of compensation and benefits on employee recruitment, retention, and engagement, the employer/employee relationship, as well as individual, organizational and societal returns. Provides tools and a holistic understanding to competently assess, manage and negotiate compensation and benefits, not only as a management/human resource professional but also as an employee (in any phase of their own compensation lifecycle).","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4750,Employment Law for Human Resource Management,3.,Lecture 3.,,,,ACCT 2150 and MGMT 4710,"Introduces fundamentals of U.S. employment law necessary for human resource management. Topics include sources of employment law, classification of workers, lawful hiring practices, liability arising from harassment and discrimination, worker’s rights and duties, employment contract issues, and lawful termination of an employee. Builds knowledge and skills for effectively managing each of these areas.","Fall, Spring",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4760,Applied Projects in Human Resource Management,3.,Lecture 3.,,,,MGMT 4710 and MGMT 4740 and MGMT 4750,"Takes an experiential and holistic view to address human resource management (HRM) issues, especially in small and mid-sized companies. Project-based format includes partnering with local companies to understand, research, and propose evidence-based HRM solutions that support the organization's overall strategy and business needs. Requires consideration and application of multiple HRM perspectives including hiring, employee development and retention, performance management, compensation and benefits, legal considerations, etc. Emphasis on developing situation-specific solutions that integrate multiple HRM best practices.",Summer,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4780,Strategic Management,3.,Lecture 3.,,,,Credit or enrollment in (ACCT 2850; ENTSP 3100; FIN 3010; MKT 3400; ( MGMT 3700 or MGMT 3710 ); SCM 3010; MIS 3010); Senior classification,"Examines why some organizations perform better than others, with an emphasis on how taking a holistic view of the organization and environment can lead to sustained competitive advantage. Evaluates how capabilities in various organizational functions can help enable and determine organizational strategy, and considers how strategic choices affect expectations of various functional areas and their interdependence. Emphasis on case analysis and discussion to build student competencies in the areas of internal and external analysis, complex decision-making, and the formulation, implementation, and evaluation of strategies.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4810X,Nonprofit Management,3.,Lecture 3.,,,,Junior classification,"Executives in nonprofits are recognizing the need to incorporate contemporary management skills into their organization and connect their organizations to related business. Executives in for-profit businesses interact with the nonprofit sector in business operations or in service as a board member for a nonprofit organization. Management practices that can be applied across lines in both nonprofit organization and for-profit businesses. Focus on the strategy, governance, management and leadership of nonprofit organizations and explore how this sector fits into the business landscape.",Spring,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,4900,Independent Study,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5020,Organizational Behavior,3.,Lecture 3.,,,,Ivy College of Business Graduate Student or instructor permission,"Understanding human behavior in organizations and the nature of sustainable organizations from a managerial perspective. Special emphasis is placed on how individual differences, such as perceptions, personality, and motivation, influence individual and group behavior in organizations and on how behavior can be influenced by job design, leadership, groups, and the structure of organizations.",Fall,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5030,Professional Responsibility in Business and Society,3.,Lecture 3.,,,,"ACCT 5010 , FIN 5010 , MGMT 5020 , MKT 5010 ; Ivy College of Business graduate student or Engineering Management Student or Instructor Permission","Ethical and social responsibilities of top managers in corporations. Topics include stakeholder management, corporate social responsibilities, strategies for sustainable development, pursuit of societal and corporate goals, board and chief executive leadership roles, governance reform and ethics, and executive leadership style and values. The presentation of course concepts is facilitated by the use of cases, discussion scenarios, and ethical dilemmas.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5040,Strategic Management,3.,Lecture 3.,,,,"Credit in any 4 of the following courses ( SCM 5010 , SCM 5240 , MIS 5010 , MKT 5010 , ACCT 5010 , ACCT 5810 , FIN 5320 , ECON 5320 , FIN 5010 , MGMT 5020 , MGMT 5030 )","Critical analysis of case studies in strategic management with an emphasis on integrative decision making. Strategy implementation in light of the global, legal, economic, cultural, and political contexts of business.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5200,"Corporate Entrepreneurship, Innovation and Technology Management",3.,Lecture 3.,,,,Graduate classification,"Management of venture creation and innovation at large and established organizations. New ideas, concepts, and techniques on how to stimulate and exploit innovative activities to make established firms not only more responsive and flexible, but also more proactive and opportunity-creating. Related approaches combine activities targeted at the individual, team, organization, industry, regional, national and global level. Introduction to how today's large and established corporations (1) identify, develop and exploit innovative opportunities, (2) manage product development processes, and (3) create, spin-in, spin-off and manage new innovative ventures. This case-based course introduces emerging, non-traditional, evidence-based approaches, such as agile product development, design-thinking, entrepreneurial leadership, entrepreneurial ecosystems, open innovation and blue-ocean strategies.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5220,Negotiation and Conflict Resolution,3.,Lecture 3.,,,,Ivy College of Business Graduate Student or instructor permission,"Theory and practice of negotiation in a variety of settings, while focusing on understanding the behavior of individuals, groups and organizations in the context of competitive situations. Team work and team building is integrated to better understand interdependent relationships and processes.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5230,Leadership,3.,Lecture 3.,,,,Enrollment in MBA Program or Permission of Instructor,"Applied overview of organizational leadership and teamwork, with special emphasis on the ability to successfully influence in a variety of contexts. Areas of emphasis include: research to better understand the influence process; leadership, followership, and management as a process; change and how to better lead and manage change in organizations.",,https://catalog.iastate.edu/azcourses/mgmt/
MGMT,5250,Evidence-Based Talent Management,3.,Lecture 3.,,,,Ivy College of Business Graduate Student or instructor permission,"Introduces talent management as integral to the ongoing success of any organization, with a focus on contemporary, evidence-based approaches to effectively managing talent. Highlights best practices related to the capture, integration, and utilization of employee data for making decisions about talent and talent management practices, and builds practical skills related to the identification and development of talent. Intended for current managers from any functional background.",,https://catalog.iastate.edu/azcourses/mgmt/
