subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
RELIG,2050,World Religions,3.,Lecture 3.,,,,,"An introduction to religious studies - the academic study of religion. Religions from around the world will be discussed, including their myths, rituals, beliefs, values, and social forms. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,2100,Religion in America,3.,Lecture 3.,,,,,"Introductory study of the major beliefs, practices, and institutions of American Judaism, Catholicism, Protestantism, and Islam with emphasis on the diversity of religion in America, and attention to issues of gender, race, and class. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,2150,Religion and Popular Culture,3.,Lecture 3.,,,,,"Popular culture is awash with gods, sacred figures, cults, myths, and rituals. Introduction to cultural representations of diverse religions and how popular culture can function like a religion. Focus on video games, board games, and film. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,2420,History of Christianity: Early to Medieval,3.,Lecture 3.,,,,,"A survey of the major historical developments in Christian thought and practice that shaped Christianity from the time of Jesus through the late medieval period. Attention given to significant persons and major events, including those involving relations with Judaism and Islam. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,2430,History of Christianity: Modern,3.,Lecture 3.,,,,,"A survey of the major figures, events, and issues that shaped the historical development of Christianity from the Reformation era to the present. Explores the diverse social, political, and cultural movements within Christianity as a global religion.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,2730,Game Design and Cultures,3.,Lecture 3.,,,,,"Examination of how games draw on diverse cultures and religions in developing game mechanics, building worlds, and telling stories. Students will play digital and analog games, discover how games work, and develop skills to create their own games.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,2770,Religion and Society,3.,Lecture 3.,,,,,"Religion as a human construction, institution, activity, and identity. Connections between religion and other social institutions and processes. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,3210,The Hebrew Bible,3.,Lecture 3.,,,,,"An in-depth study of the literature and religion of ancient Israel in light of recent archaeological discoveries, research about the ancient Near East, and a variety of interpretations.",Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3220,The New Testament,3.,Lecture 3.,,,,,A detailed survey of the sacred scriptures of Christianity in light of recent archaeological discoveries and historical research about their Greco-Roman and Jewish background.,Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,3250,"Religion, Law, and Justice",3.,Lecture 3.,,,,,"A study of the role of religion in law and justice with a focus on the United States. Examines the history of religious freedom, key contemporary legal cases, and how religious-oriented justice movements engage ethics and the law.",Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3280,Native American Religions,3.,Lecture 3.,,,,,"An introduction to the beliefs and practices of Native American religious traditions, with attention to cultural, historical, and political contexts.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3320,Catholicism,3.,Lecture 3.,,,,,"Examination of the history and theology of Catholicism from an academic perspective. Attention to Catholic doctrine, diverse experiences of lay Catholics, and Catholicism's influence on politics, culture, and art.",Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3340,Africana Religions,3.,Lecture 3.,,,,,"A focused study of the religious histories and cultures of West Africans and their descendants in the Americas. Topics include West African traditions, Christianity, Islam, and indigenous Afro-Caribbean religions, with attention to their gendered, theological, and cultural dimensions. Prior course work in Religious Studies or African American Studies recommended. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3360,"Religion, Sex and Gender",3.,Lecture 3.,,,,(3 credits in RELIG or WGS) or Permission of Instructor,Gender and sexuality in the historical and contemporary contexts of various religious traditions. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3390,Goddess Religions,3.,Lecture 3.,,,,,"Focal study of selected global Goddess traditions in context, including American Goddess spirituality. Historical and cross-cultural images, identities, and discourses of female divinity.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3400,"Magic, Witchcraft, and Religion",3.,Lecture 3.,,,,ANTHR 2010 or ANTHR 3060,"Survey of global religious belief and practice from an anthropological perspective. Emphasis on myth and ritual, shamanism, magic, witchcraft, beliefs in spirits, conceptions of the soul, mind and body relationships, and healing and therapeutic practices. Discussion of religious response to dramatic political and social change; effects of globalization on religious practice. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,3480,Psychology of Religion,3.,Lecture 3.,,,,9 credits in PSYCH,"Survey of psychological theory and research investigating religious and spiritual attitudes, beliefs and practices.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3490,Cognitive Science of Religion,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"Using case studies from the world's religions, this course examines cross-culturally occurring forms of religious expression in light of humanistic and scientific researches in the cognitive science of religion (CSR). Topics may include beliefs in god and other supernatural beings, afterlife beliefs, morality, rituals, and religious experiences, among others. Prior coursework in Religious Studies or Psychology recommended. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,3500,Philosophy of Religion,3.,Lecture 3.,,,,3 credits in PHIL or Permission of Instructor,The value and truth of religious life and belief. Mystical experience; religious faith and language; arguments for God's existence; the problem of evil; miracles; and religion and morality. Historical and contemporary readings.,Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3520,Religions of India,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"Study of texts, practices, beliefs, historical development, and mutual influence of a variety of the religious traditions of India. Emphasis on Vedic religion and the diversity of traditions of Classical Hinduism; survey of Buddhist, Jain, Sikh, and South Asian Islamic traditions. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3580,Islam,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"An introduction to Islamic religion, culture, and society from its origins to the present. Topics include the Quran, the Prophet Muhammad, Islamic theology and philosophy, Islamic history, and Islam in America. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3590,The Quran,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"A study of the Quran, the sacred text of Islam, with attention to its history, its major themes, and the diverse ways it is interpreted and applied. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3600,Religion and Ethics,3.,Lecture 3.,,,,,"Investigation of comparative religious ethical theories and approaches to contemporary moral issues. Exploration of the connections between religious belief, identity, and moral practice.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3610X,"Religion, Health, and Medicine",3.,Lecture 3.,,,,,"A broad overview of the relationship between religion, health, and medicine for students interested in religion and those interested in entering healthcare fields. Exploration of physical and mental health and healing throughout history and among practitioners of Western, Eastern, and Indigenous religious traditions. Examination of religion and public health crises and the role of religion in culturally competent healthcare today.","Fall, Spring",https://catalog.iastate.edu/azcourses/relig/
RELIG,3670,Christianity in the Roman Empire,3.,Lecture 3.,,,,,"An historical introduction to the rise of Christianity in the Roman empire, with special attention to the impact of Greco-Roman culture on the thought and practice of Christians and the interaction of early Christians with their contemporaries.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3680,Religions of Ancient Greece and Rome,3.,Lecture 3.,,,,,"Nature, origins and development of religious beliefs and practices in ancient Greece and Rome from earliest times up to the rise of Christianity. Roles of divinities and rituals in lives of individuals and families and the governing of city-states and empires. Emphasis on historical contexts of the Graeco-Roman world and influences of neighboring cultures in Africa and Asia. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,3700,Religion and Politics,3.,Lecture 3.,,,,,"The interaction of religion and politics in the U.S. from both an historical and contemporary perspective, as well as the role of religion in politics internationally.",Fall,https://catalog.iastate.edu/azcourses/relig/
RELIG,3800,Catholic Social Thought,3.,Lecture 3.,,,,,"Examines biblical roots of and major developments in Catholic social thought. Contemporary issues such as human rights, economic justice, the environment, and war and peace will be treated using principles of Catholic ethics, social analysis, official church documents, and contributions of notable theologians and activists.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,3890,Exhibiting Religion,3.,Lecture 3.,,,,,"Display of religion in museums, fairs, and exhibitions. History and ethics of museum collecting, storage, display, public engagement, and repatriation. Visit local museums and explore digital galleries.",,https://catalog.iastate.edu/azcourses/relig/
RELIG,4750,Seminar: Issues in the Study of Religion,3.,Lecture 3.,,,True,6 credits in RELIG and Permission of Instructor,Topic changes each time offered. Closed to freshmen. Sophomores must have approval of instructor.,,https://catalog.iastate.edu/azcourses/relig/
RELIG,4900,Independent Study,1-3.,,,,True,6 credits in RELIG and Permission of Instructor,Guided reading and research on special topics selected to meet the needs of advanced students.Graduation Restriction: No more than 9 credits of RELIG 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,4900H,Independent Study: Honors,1-3.,,,,True,6 credits in RELIG; Permission of Instructor; Membership in the University Honors Program,Guided reading and research on special topics selected to meet the needs of advanced students.Graduation Restriction: No more than 9 credits of RELIG 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
RELIG,4910,Senior Thesis,3.,,,,,Instructor Permission for Course,Written under the supervision of a Religious Studies faculty advisor.,,https://catalog.iastate.edu/azcourses/relig/
RELIG,4940,Special Studies in Religious Research Languages,2-3.,,,,True,6 credits in RELIG and Permission of Instructor,,,https://catalog.iastate.edu/azcourses/relig/
RELIG,5400,"Magic, Witchcraft, and Religion",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Survey of global religious belief and practice from an anthropological perspective. Emphasis on myth and ritual, shamanism, magic, witchcraft, beliefs in spirits, conceptions of the soul, mind and body relationships, and healing and therapeutic practices. Discussion of religious response to dramatic political and social change; effects of globalization on religious practice. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/relig/
RELIG,5900,Special Topics in Religious Studies,1-3.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/relig/
