subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ABE,1020,Learning Communities,0.5.,Laboratory 1.,,,,,"8 week learning communities course focusing on student success, engineering, and department curriculum. Building community within the ABE Department. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/abe/
ABE,1100,Experiencing Agricultural and Biosystems Engineering,1.,Laboratory 2.,,,,,"Laboratory-based, team-oriented experiences in a spectrum of topics common to the practice of agricultural and biosystems engineering. Report writing, co-ops, internships, careers, registration planning.",Spring,https://catalog.iastate.edu/azcourses/abe/
ABE,1600,Systematic Problem Solving and Computer Programming,3.,,,,,Credit or enrollment in MATH 1430 or MATH 1650,"Systematic problem-solving using principles of dynamics, statics, mass/energy conservation, and algorithmic thinking. Use of spreadsheet programs and computer programming language(s) to solve engineering problems. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
ABE,1700,Engineering Graphics and Introductory Design,3.,,,,,,"Applications of multi-view drawings and dimensioning. Techniques for visualizing, analyzing, and communicating 3-D geometries. Application of the design process including written and oral reports.",,https://catalog.iastate.edu/azcourses/abe/
ABE,2010,Preparing for Workplace Seminar,1.,Lecture 1.,,,,"Major in AE, AST, BSE, or ITEC; Sophomore classification",8 week course. Professionalism in the context of the engineering/technical workplace. Development of intrapersonal and interpersonal qualities including talent assessment; key workplace competency demonstration; leadership practice assessment; preparation of resume; cover letter preparation and behavioral-based interviewing; readiness for internship attainment.,"Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
ABE,2160,Fundamentals of Agricultural and Biosystems Engineering,3.,Lecture 3.,,,,ABE 1600 or Permission of Department,Application of mathematics and engineering sciences in agricultural and biosystems engineering. Emphasis is on solving engineering problems.,Fall,https://catalog.iastate.edu/azcourses/abe/
ABE,2180,Project Management & Design in Agricultural and Biosystems Engineering,2.,"Lecture 1, Laboratory 2.",,,,ABE 2160,"Engineering design process with emphasis on criteria and constraints, ideation, and analysis. Fundamental principles of project management including project management software. Open-ended project(s) to apply core principles using concepts from prerequisite courses.",Spring,https://catalog.iastate.edu/azcourses/abe/
ABE,2710,Engineering Applications of Parametric Solid Modeling,1.,"Lecture 0.7, Laboratory 0.6.",,,,ABE 1700 or TSM 1160,"8 week-course. Creating, editing, and documenting part and assembly models using Solidworks. Emphasis on developing engineering drawings to communicate designs. Portfolio creation to document learning and understanding of parametric modeling.","Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
ABE,2720,"Parametric Solid Models, Drawings, and Assemblies Using Creo Parametric",1.,"Lecture 0.5, Laboratory 1.",,,,ABE 1700 or TSM 1160,"8 week-course. Applications of Creo Parametric software. Create solid models of parts and assemblies. Utilize the solid models to create design documentation (standard drawing views, dimensions, and notes) and for the geometric analysis of parts and assemblies.","Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
ABE,2730,CAD for Process Facilities and Land Use Planning,1.,,,,,ABE 1700 or TSM 1160,"8-week course. Application of 2-D AutoCAD software to create and interpret 2-D drawings of factories, facilities, and landscape structures. Topics include geometric construction, and design documentation using views, dimension, notes, and title blocks, and AutoCAD specific features such as Layers, Blocks, Standards, Styles.","Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
ABE,3160,Applied Numerical Methods for Agricultural and Biosystems Engineering,3.,,,,,( ABE 1600 ) and ( MATH 2660 or MATH 2670 ) AND Agricultural Engineering and Biological Systems Engineering Undergraduate Majors,Computer aided solution of engineering problems by use of numerical techniques and mathematical models. Systems analysis and optimization applicable to agricultural and biological systems.,"Fall, Spring",https://catalog.iastate.edu/azcourses/abe/
