subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
POLS,1010,Exploring Political Science,1.,Lecture 1.,,,,,"Introduction to a variety of approaches to political questions. Relevance to career paths. For political science majors and others interested in exploring political questions. Recommended first semester of freshman year, or as soon as possible after declaring the major. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/pol_s/
POLS,1110,Introduction to American Government,3.,Lecture 3.,,,,,"Fundamentals of American democracy; constitutionalism; federalism; rights and duties of citizens; executive, legislative, and judicial branches of government; elections, public opinion, interest groups, and political parties.","Fall, Spring",https://catalog.iastate.edu/azcourses/pol_s/
POLS,1210,Introduction to International Politics,3.,Lecture 3.,,,,,"Dynamics of interstate relations pertaining to nationalism, the nation state; peace and war; foreign policy making; the national interest; military capability and strategy; case studies of transnational issues, such as population, food, energy, and terrorism. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/pol_s/
POLS,1250,Democracy and Dictatorship: Introduction to Comparative Politics,3.,Lecture 3.,,,,,"Interactions between governments and citizens in countries outside the US. Causes of democracy, dictatorship, and economic and social development. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/pol_s/
POLS,2220X,Global Engagement,3.,Lecture 3.,,,,,"Engagement with social and political issues on a global scale. Contributions of individual action, non-governmental organizations, and governments to changing societal and international outcomes. Techniques for identifying and addressing problems around the world. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2320X,Politics of Business,3.,Lecture 3.,,,,,"Characteristics of American political economy and its comparison to other countries. Wealth, power, and the market in politics; the relationship between capitalism and democracy. The regulation of corporations, and the relationship between governments and business.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/pol_s/
POLS,2350,Introduction to Ethics and Politics,3.,Lecture 3.,,,,,"Moral controversies surrounding political issues such as violence, deception, corruption, civil disobedience, democracy, justice, equality, and freedom. Political applications of classic and contemporary texts.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2610,Thinking Like a Political Scientist: Qualitative Approaches,3.,Lecture 3.,,,,,"Theory and method in empirical political science, with an emphasis on qualitative social-science methodologies. Research design, causal logic, and use of evidence. Content analysis, case studies, focus groups, and interviews.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2620,Thinking Like a Political Scientist: Quantitative Approaches,3.,Lecture 3.,,,,,"Theory and method in empirical political science, with an emphasis on quantitative social-science methodologies. Research design, causal logic, and use of evidence. Regressions, experiments, and polls and surveys.",Spring,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2710,Public Organizations and Leadership,3.,Lecture 3.,,,,,"Introductory survey of public governance at the administrative and managerial levels of international, national, state, and local government. Essential issues and competencies involved in efficient, effective, and ethical provision of public goods and services. Relationships inside and across governments, social equity, public-private partnerships, and privatization.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2830,Introduction to Environmental Politics and Policies,3.,Lecture 3.,,,,,"Introduction to major ideologies' relations to conservation and ecology. Processes, participants, and institutions involved in state, national, and global environmental policymaking. Case studies of environmental controversies and proposals for policy reform.",Spring,https://catalog.iastate.edu/azcourses/pol_s/
POLS,2980,Cooperative Education,Required.,,,,True,Permission of the department cooperative education coordinator; sophomore classification,Required of all cooperative education students. Students must register for this course prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/pol_s/
POLS,3050,Comparative Political Behavior,3.,Lecture 3.,,,,,"Political attitudes and behaviors of citizens in democracies, both in the US and cross-nationally. Citizens' traits and their relationship to democracy. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3060,Public Opinion and Voting Behavior,3.,Lecture 3.,,,,,"The formation of political opinions and attitudes, political participation, and voting behavior of the general public, and their influences on American politics; polling as a means of assessing public opinions and behaviors.",Spring,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3070X,Political Psychology,3.,Lecture 3.,,,,,"Psychological influences on political behavior. Political preferences, personality, cognitive biases, political violence, and partisan identities. Psychological explanations of contemporary political events.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3080,Video Games and Politics,3.,Lecture 3.,,,,,"Interactions between video games and politics from the perspective of both state and society. History and regulation of video games; games' connection with war and with authoritarian regimes; representation, race, and gender in games and game communities; games' influence on social and political attitudes.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/pol_s/
POLS,3100,State and Local Government,3.,Lecture 3.,,,,,"Role of state and local governments in the American federal system. Structures of participation: political parties, elections, interest groups. Major governmental institutions: legislative, executive, and judicial. Structure and functions of local governments.","Fall, Spring",https://catalog.iastate.edu/azcourses/pol_s/
POLS,3110,Federal Indian Law and Policy,3.,Lecture 3.,,,,,"Examines the impact of federal American Indian policies on Native communities, especially contemporary Indian Country and communities. Topics include sovereignty, recognition, the role of the Supreme Court, specific policies like allotment, and other relevant issues. AMIN 2100 recommended. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3180,Campaigns and Elections,3.,Lecture 3.,,,,,Methods and strategies of political campaigns in American elections. History of the electoral process and the transformation of American campaigns.,Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3190,Law and Politics,3.,Lecture 3.,,,,,"American judicial system and controversies spanning law and politics. Potential topics include statutory construction, judicial review, proper role of the judiciary, vagueness and ambiguity in law, competing constitutional philosophies, executive branch concerns, and relative power of different branches. POLS 1110 recommended. Graduation Restriction: Only one of POLS 2300, 3190 may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/pol_s/
POLS,3200,American Judicial Process,3.,Lecture 3.,,,,,"An overview of the American judicial process. Emphasis on specific topics such as application of constitutional rights to the states (particularly the Fourth, Fifth, Sixth, and Fourteenth Amendments), mechanics of judicial opinions, constitutional philosophies of Supreme Court Justices, decisions of first impression, and the value and scope of precedent.",Spring,https://catalog.iastate.edu/azcourses/pol_s/
