subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MS,1010,Introduction to Military Science,1.,Lecture 1.,,,,Concurrent enrollment in MS 1010L required,Examines the role of a Cadet in the Army Reserve Officer Training Corps and a Lieutenant in the United States Army. The course explores a military culture whose ultimate success is determined by the character and proficiency of its' leaders. Instruction introduces students to the cultural heritage and history of the U.S. Army. Students will begin to understand the structure of the U.S. Army and how it functions as an organization and institution. The curriculum promotes the development of students' communication skills to enhance their ability to transmit ideas. The class examines how the Army's cultural values drive the development of leadership in the Officer Corps. Hands-on activities enable students to gain insight on the skills and abilities required of cadets and officers interacting with civilians and soldiers.,Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,1010L,Basic Leadership Laboratory I,1.,Laboratory 2.,,,,Concurrent enrollment in MS 1010 required,"Uses basic military training, missions and scenarios to provide a hands-on method of developing confidence and leadership skills. Students observe and participate in the rotation through various levels of leadership positions at the platoon and squad level within the Army command structure. This concept provides a constant learning environment as they learn to communicate effectively and work as a team while assigned to positions at various levels within the organization. Marching, rifle firing, and tactical patrolling; students gain confidence through rappelling and construction/use of rope bridges; and increase professional knowledge in areas such as first aid, water survival, personal physical fitness, and land navigation. Teaching locations include the ISU Armory, Camp Dodge (National Guard Facility), Pammel Woods (ISU campus), and ISU fitness centers. Full participation in all events will be determined based on students' physical and medical eligibility.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,1020,Structure and Function of the U.S. Army,1.,Lecture 1.,,,,Concurrent enrollment in MS 1020L required,Instructs students on the fundamental skills and proficiencies required of Cadets in the Army Reserve Officer Training Corps and Officers in the United States Army. Allows students to explore the Army culture whose ultimate success is determined by the character and proficiency of its' leaders. Students will gain an insight to the effects of human behavior and communication on the function of the Army's basic unit structures. Special focus is given to the emphasis the Army puts on the development and character of the leader and how that affects the culture and operation of the Army as an institution. Students will develop an understanding of the role that morals and ethics play in becoming an Army Officer and leading American Soldiers. Introduction to basic officer/soldier skills will elucidate the complex role of the Officer in the modern Army.,Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,1020L,Basic Leadership Laboratory II,1.,Laboratory 2.,,,,Concurrent enrollment in MS 1020 required,"Uses basic military training, missions and scenarios to provide a hands-on method of developing confidence and leadership skills. Rotation through various levels of leadership positions at the platoon and squad level within the Army command structure. Provides a constant learning environment as they learn to communicate effectively and work as a team while assigned to positions at various levels within the organization. Students also learn various military tasks such as marching, rifle firing, and tactical patrolling; gain confidence through rappelling and construction/use of rope bridges; and increase professional knowledge in areas such as first aid, water survival, personal physical fitness, and land navigation. Teaching locations include the ISU Armory, Camp Dodge (National Guard Facility), Pammel Woods (ISU campus), and ISU fitness centers. Full participation in all events will be determined based on students' physical and medical eligibility.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,1500,Army Physical Readiness,1.,Laboratory 3.,,,True,,"This lab is designed to use basic military skills and instruction to develop confidence, leadership, and physical fitness. The team approach is utilized in the instruction and application of Army physical fitness requirements. Students will learn various Army physical fitness techniques as well as how to conduct physical fitness sessions. Teaching locations include Lied Recreation Center, Beyer Hall, State Gym as well as around campus. Full participation in all events will be determined based on students physical and medical eligibility.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_s/
MS,2010,Principles of Leadership and Communication Skills,2.,Lecture 2.,,,,Concurrent enrollment in MS 2010L required,"Explores the development of leadership and communication skills by understanding and studying the principles, traits, and dynamics of leadership and effective communication techniques. These include; leadership dimensions, human behavior, time management skills, stress management, values and ethics, decision making process, problem solving skills, team building exercises, communication techniques, briefing skills, delegating, nutrition, fitness, and counseling. Leadership assessment programs, role playing, active class participation, speeches, country briefs, and video clips are used to enhance and reinforce the instruction.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,2010L,Basic Leadership Laboratory III,1.,Laboratory 2.,,,,Concurrent enrollment in MS 2010 required,"Uses basic military training, missions and scenarios to provide a hands-on method of developing confidence and leadership skills. Students observe and participate in the rotation through various levels of leadership positions at the platoon and squad level within the Army command structure. Learn to communicate effectively and work as a team while assigned to positions at various levels within the organization. Students also learn various military tasks such as marching, rifle firing, and tactical patrolling; gain confidence through rappelling and construction/use of rope bridges; and increase professional knowledge in areas such as first aid, water survival, personal physical fitness, and land navigation. Teaching locations include the ISU Armory, Camp Dodge (National Guard Facility), Pammel Woods (ISU campus), and ISU fitness centers. Full participation in all events will be determined based on students' physical and medical eligibility.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,2020,Map Reading and Land Navigation,2.,Lecture 2.,,,,Concurrent enrollment in MS 2020L required,"Class focuses on the characteristics and features of the earth's land mass and how to apply different methods of conducting navigation on land. These methods include; by use of topographical maps, compasses, aerial photographs, military maps, symbols, and all their practical application. These navigation techniques are used in class in conjunction with patrolling techniques and squad movement exercises. Students will utilize verbal and non-verbal communication, communication techniques, and briefing techniques during this class. Students are also assigned to read one professional book from the Army Reading List and complete a written review of the book in the Army writing style.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,2020L,Basic Leadership Laboratory IV,1.,Laboratory 2.,,,,Concurrent enrollment in MS 2020 required,"Uses basic military training, missions and scenarios to provide a hands-on method of developing confidence and leadership skills. Students observe and participate in the rotation through various levels of leadership positions at the platoon and squad level within the Army command structure. Learn to communicate effectively and work as a team while assigned to positions at various levels within the organization. Students also learn various military tasks such as marching, rifle firing, and tactical patrolling; gain confidence through rappelling and construction/use of rope bridges; and increase professional knowledge in areas such as first aid, water survival, personal physical fitness, and land navigation. Teaching locations include the ISU Armory, Camp Dodge (National Guard Facility), Pammel Woods (ISU campus), and ISU fitness centers. Full participation in all events will be determined based on students' physical and medical eligibility.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,2500,Advanced Army Physical Readiness I,2.,Laboratory 5.,,,,MS 1500,"Students learn to plan and conduct physical fitness sessions, following Army physical fitness readiness requirements. Development of physical fitness plan and leadership of training sessions. Participation determined by students' physical and medical eligibility. Course for contracted AROTC cadets.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,2510,Advanced Army Physical Readiness II,2.,Laboratory 5.,,,,MS 1500 ; MS 2500,"Students learn to plan and conduct physical fitness sessions, following Army physical fitness readiness requirements. Development of physical fitness plan, and leadership of training sessions. Participation determined by students' physical and medical eligibility.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,2900,Independent Study: Basic Military Study,1-3.,,,,True,,"Investigation of an approved topic. Must result in a professional journal-worthy paper on ethics, current military issues, interpersonal communications, or leadership development.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_s/
MS,3010,Methods of Instructing Military Skills,3.,Lecture 3.,,,,Concurrent enrollment in MS 3010L,"Develops student's proficiency in analyzing, planning, and executing complex operations within a military organizational structure. Students are given situational opportunities and then measured on their leadership abilities through systematic feedback. Student's evaluations are based on sixteen leadership dimensions within the realms of values, attributes, skills, and actions. Students develop an understanding of human cultural heritage and history, as it pertains to the armed forces. Completion of the basic Military Science program required.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,3010L,Advanced Leadership Laboratory I,1.,Laboratory 4.,,,,Concurrent enrollment in MS 3010,"The lab compliments MS 3010 by providing opportunities to practice the lessons from class. On-the-job training and evaluation provided by the ROTC cadre. Developing training programs, structuring laboratories, presenting classes, planning various events, and accepting responsibility for the leadership labs. Participating in the Water Survival test, Army Physical Fitness test and the Land Navigation test are required. Completion of the basic Military Science program required.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,3020,Applied Leadership,3.,Lecture 3.,,,,Concurrent enrollment in MS 3020L,"Prepares students to attend the Leadership Develop and Assessment Course at Fort Knox, Kentucky in which they will be assigned specific and situational tasks to accomplish by providing purpose, motivation, and direction to fellow students across the nation. Students will learn how to identify sixteen leadership dimensions in the under classmen and provide specific feedback on their leadership behaviors. Students will develop their oral communication skills about the plans developed by the class, through small group presentation settings. Students will develop methods of studying human behavior. Completion of the basic Military Science program required.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,3020L,Advanced Leadership Laboratory II,1.,Laboratory 4.,,,,Concurrent enrollment in MS 3020,"The lab compliments MS 3020 by providing opportunities to practice the lessons from class. On-the-job training and evaluation provided by the ROTC cadre. Developing training programs, structuring laboratories, presenting classes, planning various events, and accepting responsibility for the leadership labs. Participating in the Water Survival Test, Army Physical Fitness Test and the Land Navigation test required. Completion of the basic Military Science program required.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,4010,Seminar: The Military Team,3.,Lecture 3.,,,,Credit or Concurrent enrollment in MS 4010L,"Develops student proficiency in analyzing and evaluating leadership behaviors, such as values, attributes, skills, and actions. Students are given situational opportunities to assess leadership and provide feedback to other students placed in leadership roles. Students will be measured by their ability to both give and receive systematic and specific feedback on leadership behaviors. Students will develop their ability to communicate thoughts and ideas orally through small group presentations and group discussions. Students will supervise and evaluate the planning and execution of complex operations within a military organizational structure. Completion of the basic Military Science program required.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,4010L,Advanced Leadership Laboratory III,1.,Laboratory 4.,,,,Concurrent enrollment in MS 4010,"The lab compliments the instruction from class by demonstrating the indelible link between personal values and successful leadership. On-the-job training and evaluation provided by the ROTC cadre. Developing training programs, structuring laboratories, presenting classes, planning various events, and accepting responsibility for the leadership labs. Completion of the basic Military Science program required.",Fall,https://catalog.iastate.edu/azcourses/m_s/
MS,4020,Seminar: The Professional Military Officer,3.,Lecture 3.,,,,Concurrent enrollment in MS 4020L,"Explores the dynamics of leading in the complex situations of current military operations in a contemporary world. Students will examine the differences in customs, courtesies and operational principles in the face of international terrorism. Students will also explore aspects of interaction with nongovernmental organizations, civilians and media in a war zone and foreign national governments. The course uses case studies, scenarios, and practical exercises, which prepare the student to face complex ethical and practical demands of leading soldiers within a multifaceted military organizational structure. Completion of the basic Military Science program required.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,4020L,Advanced Leadership Laboratory IV,1.,Laboratory 4.,,,,Concurrent enrollment in MS 4020,"The lab compliments the instruction from class by demonstrating the indelible link between personal values and successful leadership. On-the-job training and evaluation provided by the ROTC cadre. Developing training programs, structuring laboratories, presenting classes, planning various events, and accepting responsibility for the leadership labs. Completion of the basic Military Science program required.",Spring,https://catalog.iastate.edu/azcourses/m_s/
MS,4900,Independent Study: Advanced Military Study,1-3.,,,,True,"MS 3010, MS 3020, MS 4010 and MS 4020 and permission of the Chair of the Military Science Department","Investigation of an approved topic. Must result in a professional journal-worthy paper on ethics, current military issues, interpersonal communications, or leadership development.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_s/
