subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ADVRT,2300,Advertising Principles,3.,Lecture 3.,,,,,"Historical, social, economic and legal aspects of advertising. Evaluations of advertising research, media, strategy and appeals. Study of the creation of advertising.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3010,Research and Strategic Planning for Advertising and Public Relations,3.,Lecture 3.,,,,ADVRT 2300 or PR 2200,Use of primary and secondary research methods utilizing conventional and online tools for development of successful strategic communications and campaign development for advertising and public relations.,,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3340,Advertising Creativity,3.,,,,,JLMC 1100 ; Minimum of C+ in JLMC 2010 ; Credit in ADVRT/ PR 3010,"Development and execution of creative advertising materials. Copywriting, art direction and computer applications. Creative strategy development, execution and evaluation.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3350,Advertising Media Planning,3.,Lecture 3.,,,,ADVRT 3010 / PR 3010,"Concepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of online digital tools for market segmentation, uncovering consumer buying behaviors and attitudes, and media audience analysis.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3360,Advertising Account Management,3.,Lecture 3.,,,,JLMC 1100 ; Minimum of C+ in JLMC 2010 ; Credit or concurrent enrollment in ADVRT 3010 / PR 3010,"Fundamentals of account management with emphasis on leadership, sales techniques, relationship building, presentation skills, and strategic thinking. Includes aspects of agency communications, team building, client management, evaluating creative concepts and media plans, and developing strategic proposals and campaign recommendations.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3900,Professional Skills Development,1-3.,,,,True,(Minimum of C+ in JLMC 2010 ; JLMC major or ADVRT major or PR major or SMC major),Check with Greenlee School for course availability.No More Than 3 Credits In JLMC/ADVRT/ PR 3900 May Be Applied Toward Major Requirements For Graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/advrt/
ADVRT,3910,Short Course Intensive,1.,Lecture 1.,,,True,,Focused short courses on timely concepts. Check with Greenlee School for course availability. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4340,Advertising Campaigns,3.,Lecture 3.,,,,Minimum of C+ in ADVRT 3340 or ADVRT 3360 ; ADVRT major,"Development of advertising campaigns including primary and secondary research, target audience analysis, campaign strategy, media planning, budgeting and creative execution.","Fall, Spring",https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4350,Advertising Competition,1-3.,,,,True,Instructor Permission for Course,"Concepts of media planning and selection in the development, execution and evaluation of advertising campaigns. Characteristics and capabilities of the advertising media. Utilization of market segmentation, consumer buying and media audience databases. Offered irregularly.",Spring,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4360,Advertising Creative Portfolio,3.,Lecture 3.,,,,"Minimum of C+ in ADVRT 3340 , non-majors with instructor permission",Advanced advertising writing and design. May include campaign development for competitions. Other projects include creative development in a variety of media for an online digital portfolio.,Spring,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4730,Social Media Strategy,3.,Lecture 3.,,,,Sophomore classification,"The strategic use of social media, from both an advertising and public relationship standpoint, to the advantage of a client or organization. Examination and analysis of the social media space from a business perspective. Best practices in the areas of strategic planning, tactical execution, and measurement of social media platforms via online digital tools.","Fall, Spring",https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4900,Independent Study in Media and Communication,1-30.,,,,True,Junior or Senior classification; Instructor Permission,"Projects during which students may study problems associated with a medium, a professional specialization, a philosophical or practical concern, a reportorial method or writing technique, or a special topic in their field. Credit is not given for working on student or professional media without an accompanying research component. Graduation Restriction: No more than 3 credits of ADVRT/JLMC/PR/ SMC 4900 may be used toward a degree in the Greenlee School.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4970,Special Topics in Communication,1-3.,Lecture 3.,,,True,Junior classification,Seminars or one-time classes on topics of relevance to students in communication. See Schedule of Classes for topics.,,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4990A,Professional Media Internship: Required,3.,,,,,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Initial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/advrt/
ADVRT,4990B,Professional Media Internship: Optional,1-3.,,,,True,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Optional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/advrt/
