subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HCM,3010,Introduction to the US Healthcare Industry,3.,Lecture 3.,,,,Sophomore classification,"Introduces and provides an overview of the US healthcare delivery system for healthcare managers. Includes the theoretical basis for the system, its history and development, the resources that comprise it, as well as its overall planning, organization, management, evaluation, quality, professions, and its major health policy issues. Examines how healthcare policy is developed at the federal and state levels, considers the influence of all constituencies in policy formation, and compares existing policy and policy formation in other countries to the U.S. Explores how the healthcare policy environment affects the work of healthcare managers.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hcm/
HCM,3020,Economics for Healthcare Managers,3.,Lecture 3.,,,,Credit or enrollment in HCM 3010 or FSHN 4300,"Explores the economic influences and underpinnings of the healthcare delivery system. Examines the importance of economics in healthcare decisions, both demand and supply-side factors, and how third-party payers and public policy influence consumption and production of healthcare. Introduces evaluation of clinical outcomes using cost-effectiveness and other decision-analysis tools, as well as topics such as asymmetry of information, comparative healthcare systems, and healthcare policy.","Fall, Spring",https://catalog.iastate.edu/azcourses/hcm/
HCM,3030,Healthcare Quality Management,3.,Lecture 3.,,,,Credit or enrollment in HCM 3010 or FSHN 4300,"Addresses the manager’s role in improving healthcare quality and outcomes, including clinical and organizational improvement, and quality improvement practices. Explores how healthcare delivery systems can better measure outcomes from both patient and organizational perspectives. Analyzes quality improvement programs and examines their adaptability to the healthcare environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/hcm/
HCM,3910,Internship in Healthcare Management,3.,,,,True,At least 12 hours of HCM coursework with a cumulative HCM-specific GPA of 2.0 or better AND departmental permission,"The internship is an integrative experience in a healthcare setting that allows students to apply the skills and knowledge obtained through their academic preparation in healthcare management. The internship consists of a minimum of 120 contact hours. Students are required to submit written and/or oral reports to the instructor of record on the internship experience as it relates to the healthcare management curriculum. Students may be responsible for facility-specific fees associated with the completion of organizational requirements, such as training and immunization.",,https://catalog.iastate.edu/azcourses/hcm/
HCM,3980,Cooperative Education,Required.,,,,True,At least 12 hours of HCM coursework with a cumulative HCM-specific GPA of 2.0 or better AND departmental permission,"Students who wish to remain enrolled in Iowa State and work full-time in a healthcare management position can complete the Cooperative Education course. The cooperative education experience in a healthcare setting that allows students to apply the skills and knowledge obtained through their academic preparation in healthcare management. Students are required to submit written and/or oral reports to the instructor of record on the internship experiences as it relates to the healthcare management curriculum. Students may be responsible for facility-specific fees associated with completion of organizational requirements, such as training and immunization. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/hcm/
HCM,4010,Financial Management for Healthcare Organizations,3.,Lecture 3.,,,,FIN 3010 and credit or enrollment in HCM 3010,"Examination of the current accounting system for, and the financing of, health care and the factors affecting the industry. Exploration and analysis of budgetary concepts, financial management, cost accounting, and management under rate control and competition, as well as the differences between the goods and service industries. Additional areas of discussion include the practical application of health care finance theory as it applies to the current healthcare environment. The revenue and expense applications will be explored in-depth, particularly in relation to the delivery of health care services. Specific emphasis will be placed on understanding the components of the income statement and balance sheet, developing a budget, and using these financial statements for analyzing operational changes.","Fall, Spring",https://catalog.iastate.edu/azcourses/hcm/
HCM,4020,Law and Regulatory Environment in Healthcare,3.,Lecture 3.,,,,Credit or enrollment in HCM 3010 or FSHN 4300,"An in-depth look at the legal and regulatory environment of healthcare management and practice. Explores aspects of employer-employee relations in the health care setting and legal ramifications of patient treatment and medical records. Discusses the importance of healthcare managers being familiar with the laws and regulations of healthcare. Included may be considerations of governmental, accreditation, and professional associations’ oversight.",,https://catalog.iastate.edu/azcourses/hcm/
HCM,4030,Healthcare Information Systems,3.,Lecture 3.,,,,MIS 3010 and credit or enrollment in HCM 3010,"Explores the critical role information technologies and systems play in healthcare organizations. The focus is on evaluating and implementing software and IT systems that facilitate delivery of health care; understanding information technology governance, data privacy, and security; planning and project management; and tracking future developments of information technology in healthcare management. Introduction to Electronic Health Records (EHR) and other Management and Financial Information System applications used by healthcare organizations.",,https://catalog.iastate.edu/azcourses/hcm/
HCM,4040X,Cost-Effectiveness Analysis in Healthcare,3.,Lecture 3.,,,,COMS 1130 and FIN 3010 and STAT 2260,"Introduces cost-effectiveness analysis in the healthcare context. Examines different forms of economic evaluations for healthcare interventions or technology, and how this impacts managerial decision-making. Includes cost-effectiveness, cost-utility, cost-benefit, cost-consequence, and cost-minimization analyses. Develops knowledge and skills in how to use these methods for evidence-based and ethical decisions in healthcare and other types of organizations.",Spring,https://catalog.iastate.edu/azcourses/hcm/
HCM,4530X,Current Issues in Healthcare Management,3.,Lecture 3.,,,,HCM 3010,"Designed to complement the required curriculum in the Healthcare Management (HCM) major. Explores a rotating selection of cutting edge and timely topics in the area of HCM, with an emphasis on the application of HCM knowledge and skills to the challenges facing today’s organizations. Develops an awareness and understanding of the range, scope, and complexity of management-related issues in the modern (and post-pandemic) healthcare organization. Opportunities to apply introduced HCM knowledge, skills, and tools through class projects and exercises.",,https://catalog.iastate.edu/azcourses/hcm/
