subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
WFCE,2310,Principles of Wildlife & Fisheries Conservation,3.,Lecture 3.,,,,"BIOL 2110 , BIOL 2120 , and NREM 1200","Introduction to the principles of wildlife and fisheries management. Case studies will be explored along with assessment methods used to understand management including conservation of populations, species and communities, as well as habitat preservation and restoration.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3120,Ecology,4.,"Lecture 3, Laboratory 3.",,,,BIOL 2110 ; ( BIOL 2120 or BIOL 2510 ),"Fundamental concepts and principles of ecology dealing with organisms, populations, communities, and ecosystems. Laboratory and field exercises examine ecological principles and methods as well as illustrate habitats.","Fall, Summer",https://catalog.iastate.edu/azcourses/wfce/
WFCE,3210,Ichthyology,3.,"Lecture 2, Laboratory 3.",,,,WFCE 3650,"Biology, ecology, and evolution of fishes. Emphasis on structure, physiology, and behavior, including a focus on the conservation and management of fishes and their habitats. Laboratory focus on fish morphology, survey methods, identification, distribution, habits, and habitats of fishes.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3330,Fisheries Techniques,2.,"Lecture 1, Laboratory 3.",,,,BIOL 2120,Introduction to techniques used in the collection and interpretation of fish population data in the field and in the lab. Course objectives include an understanding of population survey methodology and improving student critical thinking and teamwork skills. Laboratory focuses on field trips and hands-on sampling experience.,Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3650,Vertebrate Biology,4.,"Lecture 3, Laboratory 2.",,,,BIOL 2110 and BIOL 2110L,"Evolution, biology, and classification of fish, amphibians, reptiles, birds, and mammals. Emphasis on a comparative analysis of the structure and function of organ systems. Laboratory exercises concentrate on morphology and identification of orders of vertebrates.",Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3660,Natural History of Iowa Vertebrates,3.,"Lecture 2, Laboratory 3.",,,,BIOL 2110 and BIOL 2110L,"Vertebrate fauna of Iowa, including fishes, amphibians, reptiles, birds, and mammals. Species identification, habitat requirements, community structure and assessment, conservation issues that include historical population changes and value of wild animals to the region's ecological and economic health.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3710,Ecological Methods,3.,"Lecture 2, Laboratory 3.",,,,WFCE 3120 or NREM 3110 ; STAT 1010 or STAT 1040,Quantitative techniques used in management of natural resources with emphasis on inventory and manipulation of habitat and animal populations.,Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3720,Wildlife Population Methods,4.,"Lecture 1, Laboratory 8.",,,,BIOL 3120 or NREM 3110,"Field-intensive study of population ecology. Emphasis on hands-on learning of study design and techniques to assess population trends in plants, invertebrates, and vertebrates inhabiting terrestrial and aquatic ecosystems.",Summer,https://catalog.iastate.edu/azcourses/wfce/
WFCE,3750,Marine Ecology and Ecosystems Dynamics,3.,Lecture 3.,,,,BIOL 2110,"Overview of the ecological processes, ecosystems, and biodiversity in marine environments. Ever-changing dynamics caused by environmental disturbances, internal forces, or by human impacts on species and ecosystems.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4060,Wildlife Camp,3.,"Lecture 1, Laboratory 6.",,,,BIOL 2110 and Permission of Instructor; restricted to Animal Ecology majors,"Introduction to methods and career options in wildlife research and management through field work. Two-week field work experience followed by on-campus reflection, analysis and presentation of field data.",Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4150,"Ecology of Freshwater Invertebrates, Plants, and Algae",3.,"Lecture 2, Laboratory 3.",,,,WFCE 3120,"Identification, biology, and ecological requirements of freshwater invertebrates, plants and algae. Additional emphases on community sampling methods and analysis, and use of organisms as tools for aquatic ecosystem health assessment.",Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4180,Stream Ecology,3.,"Lecture 2, Laboratory 3.",,,,WFCE 4860,"Biological, chemical, physical, and geological processes that determine the structure and function of flowing water ecosystems. Current ecological theories as well as applications to stream management for water quality and fisheries. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4250,Aquatic Insects,3.,"Lecture 2, Laboratory 3.",,,,BIOL 3120,"Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4350,Entomology Field Trip,2.,,,,True,BIOL 3120 ; Permission of Instructor,Field trip to study insects of major terrestrial and aquatic ecosystems. Location and duration vary. ENT 3700 or ENT 4250 recommended. Offered irregularly.,"Spring, Summer",https://catalog.iastate.edu/azcourses/wfce/
WFCE,4400,Fishery Management,3.,"Lecture 2, Laboratory 3.",,,,"WFCE 3120 , WFCE 3210 , WFCE 3330 ; STAT 1010 or STAT 1040; Credit or Enrollment in WFCE 4860","Biological basis of fishery management, fishery problems, and management practices for freshwater, anadromous, and marine fisheries.",Fall,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4420,Aquaculture,3.,Lecture 3.,,,,BIOL 2110 and BIOL 2120,"Concepts related to the culture of aquatic organisms including culture systems, water quality, nutrition, genetics, diseases, and marketing.",Spring,https://catalog.iastate.edu/azcourses/wfce/
WFCE,4510,Wildlife Ecology and Management,3.,"Lecture 2, Laboratory 3.",,,,,"Ecological theory and practice of wildlife management, including, population ecology, habitat management, and current issues in the field. Course involves a series of case studies addressing actual wildlife issues using field and quantitative methods.",Spring,https://catalog.iastate.edu/azcourses/wfce/
