subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
NRS,2500,Introduction to BSN Nursing,1.,Lecture 1.,,,,accepted into Nursing major,"Designed to prepare the learner for the academic experience. Topics will include an introduction to student-centered learning, support services, communication, time management, and evaluation and assessment methods. The development of professional and scholarly writing skills for success will be emphasized.",Fall,https://catalog.iastate.edu/azcourses/nursing/
NRS,3200,Essential Concepts for Professional Nursing Practice,3.,Lecture 3.,,,,accepted into Nursing major,"Philosophical, conceptual, and theoretical foundations of baccalaureate nursing practice will be centered around nursing professionalism and professional identity. Essential concepts that affect the nursing profession and healthcare from both historical and contemporary perspectives will be examined. Professional role development, interprofessional partnerships, healthcare technologies and informatics, and effective communication focusing on person-centered care will be addressed.",Fall,https://catalog.iastate.edu/azcourses/nursing/
NRS,3400,Nursing Research and Evidence-Based Practice,4.,Lecture 4.,,,,accepted into Nursing major,"NRS 3400 has an $80.00 course fee. Introduction to the critical thought processes and methods used in nursing research. Basic concepts and terminology of research methodology and analysis are presented. Ethical comportment in the conduct and dissemination of research and advocacy for human subjects will be addressed, as well as strategies for the implementation of evidence-based nursing practice to support quality and transformation in healthcare. Learners will interpret and evaluate nursing research, create a professional nursing research proposal poster, and present their research proposal in a public forum.",Fall,https://catalog.iastate.edu/azcourses/nursing/
NRS,3600,Nursing Leadership and Management,3.,Lecture 3.,,,,"Nursing, B.S.N. Major (Admission to the RN-to-BSN Program)","Examines the knowledge and skills necessary in nursing leadership and management roles in different healthcare settings. Explores the role of the nurse leader through various topics such as effective communication, organizational structure, information management, financial management, quality and outcomes measurement, and teamwork. Focus on transformational leadership and combine theoretical knowledge with practical case studies to gain a comprehensive understanding of the nurse leader role.",Fall,https://catalog.iastate.edu/azcourses/nursing/
NRS,4200,Promoting a Culture of Health and Wellness,3.,Lecture 3.,,,,accepted into Nursing major,"Examines the culture of health, health promotion, and illness prevention across the lifespan in the context of theoretical foundations, historical and contemporary practice, and person-centered care. Complementary and alternative therapeutics to achieve personal goals that promote and maintain health, healing and wellness, build resilience, and incorporate self-care management strategies will be explored through a lens that considers personal perceptions of health and assesses lifestyle practices and patterns.",Fall,https://catalog.iastate.edu/azcourses/nursing/
NRS,4400,Population Health Nursing,3.,Lecture 3.,,,,NRS 3400 and NRS 4200,"Addresses factors that affect the health outcomes and distribution of health among individuals, families, communities, and aggregates across the lifespan. Exploration of social determinants of health, epidemiology, genetics, health promotion, illness prevention, community assessment, and factors that influence health services access and delivery in the United States and globally. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/nursing/
NRS,4420,Population Health Nursing Practicum,1-2.,,,,,Credit or enrollment in NRS 4400,Practicum experience to accompany NRS 4400 for learners to see firsthand how social determinants of health impact health and health outcomes and learn from organizations that support and provide resources for vulnerable populations. Includes simulation and group immersion practicum experiences.,"Spring, Summer",https://catalog.iastate.edu/azcourses/nursing/
NRS,4700,Global Health Nursing,3.,Lecture 3.,,,,NRS 4200,"Concentrates on the delivery of health care globally and examines the influence of programs, systems, and policies on global health. Evaluation of natural and manmade disasters, and environmental, social, political, and economic factors that shape patterns and experiences of illness and health globally. Learners will reflect on their own worldviews, perceptions, and the influence of global issues on their own lives. Meets International Perspectives requirement.",Spring,https://catalog.iastate.edu/azcourses/nursing/
NRS,4800,Advanced Concepts of Professional Nursing,3.,Lecture 3.,,,,Credit or enrollment in NRS 4400 and NRS 3600,"Exploration of professional issues in contemporary nursing through published research, professional standards, literature, and narrative evidence, with consideration of legal, political, and ethical influences. Equips learners with the necessary skills to become change agents and empower themselves to solve problems and advocate for change. .",Spring,https://catalog.iastate.edu/azcourses/nursing/
NRS,4900A,Independent Study: Transition into Professional Practice,1-2.,,,,True,accepted into Nursing major,Independent work exploring diverse nursing roles as a professional nurse. A maximum of 4 credits of NRS 4900 may be used toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nursing/
NRS,4900B,Independent Study: Special Topics in Nursing,1-2.,,,,True,accepted into Nursing major,"Independent work in nursing practice, issues, or policy. Graduation Restriction: A maximum of 4 credits of NRS 4900 may be used toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nursing/
NRS,4900C,Independent Study: International Experience,1-2.,,,,True,Accepted into Nursing Major or Permission of Director of Nursing Education,Independent work with a focus on nursing concurrent with international travel experience. Graduation Restriction: A maximum of 4 credits of NRS 4900 may be used toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nursing/
NRS,6020X,Facilitating Learning and Learner Development in Nursing Education,3.,Lecture 3.,,,True,,"This course examines the multi dimensional roles of a nurse educator, focusing on the knowledge of teaching and learning theories, principles, and strategies. The course explores the roles and responsibilities of the nurse educator as a teacher, leader, change agent, and curriculum innovator. Emphasis is placed on innovative, transformational, and experiential teaching and learning strategies to support student development in multiple learning environments while addressing the needs of diverse learners. Take concurrently with NRS 6040 and NRS 6060.",Fall,https://catalog.iastate.edu/azcourses/nursing/
