subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HIST,1950,Introduction to History,1.,Lecture 1.,,,,,"Introduction to the discipline of history and how historians think and work. Focus on research methodologies, writing and analytical practices of historians, and specialization in the discipline.",,https://catalog.iastate.edu/azcourses/hist/
HIST,2010,Introduction to Western Civilization I,3.,Lecture 3.,,,,,Western civilization from ancient Mediterranean world to 1500. Social and cultural developments; economic and political ideas and institutions; problems of historical change and continuity. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/hist/
HIST,2020,Introduction to Western Civilization II,3.,Lecture 3.,,,,,Western civilization from 1500 to present. Social and cultural developments; economic and political ideas and institutions; problems of historical change and continuity. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/hist/
HIST,2070,Chinese Civilization,3.,Lecture 3.,,,,,"Origins, development, decline and transformation of China from earliest times to 1911. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/hist/
HIST,2110,Ancient Empires: From Sargon to Caesar,3.,"Lecture 2, Discussion 1.",,,,,"Development of empires in the Near East and Mediterranean from the Akkadians to the fall of Rome. Discussion of the Hittites, Assyrians, Persians, Athenians, Macedonians (including the conquests of Alexander the Great), Carthaginians, and Romans; examination of imperialism as well as the social, cultural, and economic consequences of empire. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/hist/
HIST,2120,Medieval Kingdoms,3.,Lecture 3.,,,,Sophomore classification,"Survey of political, social, and cultural developments in western Europe for the entire medieval period, 300-1500.",,https://catalog.iastate.edu/azcourses/hist/
HIST,2210,Survey of United States History I,3.,Lecture 3.,,,,,"Colonial foundations: revolution, confederation, and constitution; nationalism and democracy; sectional disunity, Civil War, and reunion.",Fall,https://catalog.iastate.edu/azcourses/hist/
HIST,2220,Survey of United States History II,3.,Lecture 3.,,,,,"Industrialization; emergence as a great power; boom and depression; war, internationalism and Cold War; modern industrial society.",Spring,https://catalog.iastate.edu/azcourses/hist/
HIST,2550,"Modern World History, Globalization in Perspective",3.,Lecture 3.,,,,,World history from 1500 to present. Globalization; colonization and empire; political revolutions; industrialization; modernization. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/hist/
HIST,2710,The History of Sports in the United States,3.,Lecture 3.,,,,,"Professionalization of sports from their origins as invented recreational activities to their present status as fiscally privileged, legally protected cultural icons. Covering the period from the 17th to the end of the 20th century.",Spring,https://catalog.iastate.edu/azcourses/hist/
HIST,2720,Game Design and History,3.,Lecture 3.,,,,,"Students will play digital and analog games, discover how games work, and develop skills to create their own games. The course is a historically informed examination of games which develop game mechanics, build worlds, and tell stories about or represent the past.",Spring,https://catalog.iastate.edu/azcourses/hist/
HIST,2800,Introduction to History of Science I,3.,Lecture 3.,,,,,Ideas of nature from ancient Greece to the seventeenth-century scientific revolution. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/hist/
HIST,2810,Introduction to History of Science II,3.,Lecture 3.,,,,,Science from seventeenth-century scientific revolution to Darwin and Einstein. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/hist/
HIST,2840,"Wonders of the World, Global History of Innovation",3.,Lecture 3.,,,,,"Innovation across cultures from the ancient ""Seven Wonders of the World"" to the modern world, with developments in Egypt, Greece, Rome, the Islamic World, India, China, Europe, and the Americas. Topics include major inventions, agricultural technologies, architecture, manufacturing, warfare, engineering, printing, entertainment, transport, and communications. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/hist/
HIST,3010,The Historian's Toolbox,3.,Lecture 3.,,,,History major; Sophomore classification,"Foundations of the discipline with emphasis on the purpose, practice, and methodology of History. Required of majors.","Fall, Spring",https://catalog.iastate.edu/azcourses/hist/
HIST,3040,Cultural Heritage of the Ancient World,3.,Lecture 3.,,,,Sophomore classification,"Historical examination of art, literature, thought, and religious beliefs of major civilizations of the ancient Mediterranean countries until the end of the 8th century.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3070,American Popular Culture,3.,Lecture 3.,,,,Sophomore classification,"Social practices, beliefs and material traits of everyday life in America from the mid-19th century to the present. Includes literature, music, theater and other entertainments. Dime novels, vaudeville, rock and roll music, Hollywood and establishment of professional athletic leagues are among the cultural artifacts and phenomena considered.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3100,Africa to 1880,3.,Lecture 3.,,,,Sophomore classification,"Survey of the history of African societies, cultures and civilizations from earliest times to 1880. Evolution of states across the continent; social, economic, political, and cultural developments; nature and consequences of African interactions and relationship with Europeans. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3110,Africa under Colonial Rule,3.,Lecture 3.,,,,Sophomore classification,"Development of Africa from imposition of colonial rule to independence, including processes of European domination, African reaction and resistance, emergence of nationalism, and dismantling of colonialism. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3140X,Racism in American Popular Media,3.,Lecture 3.,,,,Sophomore classification or above,This course explores the history of racist tropes and caricatures in American popular media and analyzes how they taught Americans to understand race.,,https://catalog.iastate.edu/azcourses/hist/
HIST,3180,"History of Early Modern Europe, 1450-1789",3.,Lecture 3.,,,,Sophomore classification,"Survey of major themes in the social, political, cultural, and religious history of early modern Europe, including the eras of renaissance and reformation, the age of exploration, development of the modern individual and household, and enlightenment.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3200,"History of Modern Europe, 1789 to Present",3.,Lecture 3.,,,,Sophomore classification,"Survey of major themes in the social, political, and religious history of Europe from the French Revolution to the present. Topics to be covered include the French Revolution, nationalism, the Industrial Revolution, the Russian Revolution, World Wars I and II, the Cold War, the fall of the Soviet Union, and the history of globalization. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/hist/
HIST,3250,"Society and Politics in England, 1525-1700",3.,Lecture 3.,,,,,"Social, cultural, demographic, and economic experiences. Religious Reformation. Growth of the State (and Empire) and political institutions.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3270,History of the British Empire,3.,Lecture 3.,,,,Sophomore classification,"Development of British Empire from origins in the seventeenth century to dissolution in the twentieth century. Attention given to empire in S. Pacific, N. America, India and S. Asia, Hong Kong, Africa and the Middle East, as well as theories of empire and the impact of immigration on British society. Irish history also covered. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/hist/
HIST,3310,History of the Islamic World to 1800,3.,Lecture 3.,,,,Sophomore classification,"Survey of the Islamic world from pre-Islamic Arabia to the 19th century covering the life of the Prophet Muhammad, the spread of Islam through the Arab conquests and the Caliphal dynasties of the Umayyads and the Abbasids, the Mongol conquests, Turkic migrations from Central Asia, and the rise of the Ottoman Empire.",Fall,https://catalog.iastate.edu/azcourses/hist/
HIST,3360,Ancient China,3.,Lecture 3.,,,,Sophomore classification,"History of China from the beginning of civilization through the Opium War; examines social, political, economic, and cultural developments. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/hist/
