subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GER,1010,Elementary German I,4.,Lecture 4.,,,,,"Beginning level development of reading, writing, listening comprehension, and speaking in German within the context of German culture. For beginning-level learners who have little or no prior exposure to German.","Fall, Summer",https://catalog.iastate.edu/azcourses/ger/
GER,1020,Elementary German II,4.,Lecture 4.,,,,( GER 1010 ) OR (Score between 225 - 250 on German WLC Placement Exam),"Beginning level development of reading, writing, listening comprehension, and speaking in German within the context of German culture. For beginning level learners with only one semester of German (or exposure equivalent to two years or less in high school.) Meets International Perspectives Requirement.","Spring, Summer",https://catalog.iastate.edu/azcourses/ger/
GER,2010,Intermediate German I,4.,Lecture 4.,,,,( GER 1020 ) OR (Score between 250 - 350 on German WLC Placement Exam),"Intermediate level development of reading, writing, listening comprehension, and speaking in German within the context of German culture. Intensive review of basic grammar covered in the first-year German class (or equivalent high school courses) while exploring cultural topics and themes. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/ger/
GER,2020,Intermediate German II,4.,Lecture 4.,,,,( GER 2010 ) OR (Score between 350 - 400 on German WLC Placement Exam),"Intermediate level development of reading, writing, listening comprehension, and speaking in German within the context of German culture. Emphasis on intermediate level grammar and communication about topics and themes beyond the personal realm. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ger/
GER,3010,Reading,3.,Lecture 3.,,,,( GER 2020 ) OR (Score greater than 400 on German WLC Placement Exam),Emphasis on reading with further development of grammar using a variety of texts. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/ger/
GER,3020,Composition,3.,Lecture 3.,,,,( GER 2020 ) OR (Score greater than 400 on German WLC Placement Exam),"Emphasis on writing skills, with further development of grammar and reading skills using a variety of current and historical materials. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ger/
GER,3040,German for Global Professionals,3.,Lecture 3.,,,,( GER 2020 ) OR (Score greater than 400 on German WLC Placement Exam),Communication in business and professional contexts in German-speaking countries. Development of effective communication strategies and project management in the workplace. Cultural contexts of business and professional practice. Preparation for internships. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/ger/
GER,3050,Conversation,3.,Lecture 3.,,,,( GER 2020 ) OR (Score greater than 400 on German WLC Placement Exam),Intensive conversational and listening practice in German. GER 3010 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/ger/
GER,3200,Germany Today,3.,Lecture 3.,,,,GER 3010 or GER 3040,"Selected topics dealing with contemporary German society and culture. Introduction to materials, resources, and forms of communication available on the Internet, and in other electronic and print media. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/ger/
GER,3300,German Literature and Culture,3.,Lecture 3.,,,True,GER 3010 or permission of instructor,Selected readings in German literature from Classicism to present. Emphasis on techniques of reading and analysis of literary texts. Graduation Restriction: No more than six credits of GER 3300 may be counted toward the major. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/ger/
GER,3700,German Studies in English,3-4.,Lecture 3.,,,True,Sophomore classification,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Three credits: English, open to all students. Four credits: Required for German concentration credit, supplementary readings and compositions in German. For enrollment in fourth credit, 6 credits in GER at the 3000-level. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/ger/
