subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CLST,2730,Greek and Roman Mythology,3.,Lecture 3.,,,,,"Survey of the legends, myths of the classical world with emphasis on the principal gods, and heroes, and their relation to ancient social, psychological, and religious practices; some attention may be given to important modern theories. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,2730H,Greek and Roman Mythology: Honors,4.,"Lecture 3, Discussion 1.",,,,Membership in the University Honors Program,"Survey of the legends, myths of the classical world with emphasis on the principal gods, and heroes, and their relation to ancient social, psychological, and religious practices; some attention may be given to important modern theories. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,2750,The Ancient City,3.,Lecture 3.,,,,,"Examination of ancient urban life, including historical context, physical space, material culture, religion, literature, and art; examination of civic identity (the ""polis""). Contrast between the concepts of urban and rural. Examples drawn from one or several selected ancient cities; some attention to modern methods of recovering the conditions of ancient urban life and the fundamental concept of the city in European history. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3040,Cultural Heritage of the Ancient World,3.,Lecture 3.,,,,Sophomore classification,"Historical examination of art, literature, thought, and religious beliefs of major civilizations of the ancient Mediterranean countries until the end of the 8th century.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3100,Ancient Philosophy,3.,Lecture 3.,,,,3 credits in PHIL or Permission of Instructor,"Survey of ancient Greek philosophy, focusing on the pre-Socratics, Plato, and Aristotle. Questions concerning being, knowledge, language, and the good life are treated in depth.",Fall,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3500,Rhetorical Traditions,3.,Lecture 3.,,,,ENGL 2500,"Ideas about the relationship between rhetoric and society in contemporary and historical contexts. An exploration of classical and contemporary rhetorical theories in relation to selected topics that may include politics, gender, race, ethics, education, science, or technology.",Spring,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3530,World Literature: Western Foundations through Renaissance,3.,Lecture 3.,,,,ENGL 2500,"Representative works of drama, poetry, and prose from ancient times through the mid-seventeenth century. Consideration of Western traditions within global contexts. Attention to religious and ethnic diversity; oral, manuscript, and print cultures; political authority; and the impact of translation on form, meaning, and reception of texts. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/cl_st/
CLST,3670,Christianity in the Roman Empire,3.,Lecture 3.,,,,,"An historical introduction to the rise of Christianity in the Roman empire, with special attention to the impact of Greco-Roman culture on the thought and practice of Christians and the interaction of early Christians with their contemporaries.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3680,Religions of Ancient Greece and Rome,3.,Lecture 3.,,,,,"Nature, origins and development of religious beliefs and practices in ancient Greece and Rome from earliest times up to the rise of Christianity. Roles of divinities and rituals in lives of individuals and families and the governing of city-states and empires. Emphasis on historical contexts of the Graeco-Roman world and influences of neighboring cultures in Africa and Asia. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3690,Ancient Egypt,3.,Lecture 3.,,,,,"Archaeology and culture of Ancient Egypt from prehistory to Late Antiquity. Exploration of literature, religion, social history, government, and architecture. Discussion of major archaeological sites and methods; examination of interaction with other ancient near eastern and Mediterranean civilizations. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3700X,Topics in the Ancient Mediterranean,3.,Lecture 3.,,,True,,"Topics in ancient Greek, Roman, or Egyptian culture vary according to faculty interest. Readings from ancient and modern sources in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3720,Greek and Roman Tragedy and Comedy,3.,Lecture 3.,,,,,"Greek and Roman drama from the beginnings until today. Readings in English from authors such as Aeschylus, Sophocles, Euripides, Aristophanes, Menander, Plautus, Terence, Seneca. Course may cover performance, theories of comedy and tragedy, recent and current expressions of the comic and tragic in film and other media. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3720H,Greek and Roman Tragedy and Comedy: Honors,4.,Lecture 4.,,,,Membership in the University Honors Program,"Greek and Roman drama from the beginnings until today. Readings in English from authors such as Aeschylus, Sophocles, Euripides, Aristophanes, Menander, Plautus, Terence, Seneca. Course may cover performance, theories of comedy and tragedy, recent and current expressions of the comic and tragic in film and other media. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3730,"Heroes of Greece, Rome, and Today",3.,Lecture 3.,,,,,"Cultural and political significance of ancient epic, especially in Greece and Rome. Course may include study of the heroic code in antiquity and its modern expressions including in film. Readings in English from authors such as Homer and Vergil. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3730H,"Heroes of Greece, Rome, and Today: Honors",4.,"Lecture 3, Discussion 1.",,,,Membership in the University Honors Program,"Cultural and political significance of ancient epic, especially in Greece and Rome. Course may include study of the heroic code in antiquity and its modern expressions including in film. Readings in English from authors such as Homer and Vergil. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
CLST,3740,"Sex, Gender, and Culture in the Ancient Mediterranean World",3.,Lecture 3.,,,,,"Survey of the roles of women and others on the margins and the issues that impacted them in the ancient Greek and Roman worlds. Evidence from literature, the visual arts, and archaeology. Contemporary approaches to studying women, gender, and sexuality in ancient history. Intersections of gender categories with ideas of slave and free status, citizenship, and ethnicity. Readings from ancient and modern sources. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/cl_st/
