subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BBMB,1010,Introduction to Biochemistry,2.,Lecture 2.,,,,,"Foundational principles of the molecules and chemistry of life, including structure and function of biological molecules: protein, lipids, nucleic acids, and carbohydrates. Survey of modern biotechnology frontiers.",Fall,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1020,Introduction to Biochemistry Laboratory,1.,,,,,Credit or enrollment in CHEM 1770 and CHEM 1770L or CHEM 2010 and CHEM 2010L,"Topics in the scientific background of biochemistry, such as macromolecules, metabolism, and catalysis. Laboratory experimentation covers biochemical concepts and the study of bio-molecules including proteins, lipids and nucleic acids. A significant component is practice in scientific communication. For students declaring or considering Biochemistry majors.",Spring,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1100,Biochemistry Learning Community I,1.,Lecture 1.,,,,,"Biochemistry Learning Community introducing the program of study, academic planning, and university resources. Survey of careers and research in biotechnology, medicine, and biophysics. Introduction to ISU research and faculty. Concurrent enrollment with BBMB 1010 highly recommended. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1110,Biochemistry Learning Community II,1.,Lecture 1.,,,,,"Biochemistry Learning Community serving an overview of career-development and research resources, including research opportunities, internships, lab skills, and leadership roles. Introductions to ISU research and faculty. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1200,The Biochemistry of Beer,2.,Lecture 2.,,,,,"An introduction to the major classes of biomolecules, basic biochemical concepts, enzymology, metabolism and genetic engineering as they apply to the production and flavor of beer. All aspects of the biochemistry of beer will be covered, including the malting of barley, starch conversion, yeast fermentation and the chemical changes that occur during the aging of beer. Intended for non-majors.",Fall,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1200L,Biochemistry of Beer Laboratory,1.,Laboratory 3.,,,,Credit or enrollment in BBMB 1200,"An introduction to biochemical methods related to the production of beer. Laboratory exercises related to water chemistry, mash enzymology, hop compound extraction and analysis, and yeast biology will be performed. Closely follows the material being taught in BBMB 1200 . Graduation Restriction: Natural science majors are limited to elective credit only.",Fall,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,1210,"Medicines, Drugs and You",2.,Lecture 2.,,,,,"An introduction to how medicines treat disease, what drug molecules look like, how they function, how they can be toxic, modern therapeutics ranging from over-the-counter pain relievers, antibiotics and anti-depressants, to anti-cancer chemotherapies. The differences between drugs and supplements. Intended for students of all majors.",Spring,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,2010,Chemical Principles in Biological Systems,2.,Lecture 2.,,,,Credit or enrollment in CHEM 3320,"Survey of the chemical principles of biological systems including: water, organic chemistry of functional groups in biomolecules and biochemical cofactors, weak bonds and their contribution to biomolecular structure, oxidation-reduction reactions and redox potential, thermodynamic laws and bioenergetics, chemical equilibria and kinetics, inorganic chemistry in biological systems, data presentation. The subjects will be taught using molecules from biological systems as examples. Intended for majors in biochemistry.",Spring,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,2210,Structure and Reactions in Biochemical Processes,3.,Lecture 3.,,,,"CHEM 1630 , CHEM 1670 , CHEM 1770 or CHEM 2010","Fundamentals necessary for an understanding of biochemical processes. Primarily for students in agriculture. Graduation Restriction: Not acceptable for credit toward a major in biochemistry, biophysics, or agricultural biochemistry. Credit for both BBMB 2210 and CHEM 2310 may not be applied toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/bbmb/
BBMB,3010,Survey of Biochemistry,3.,Lecture 3.,,,,CHEM 2310 or CHEM 3310,"A survey of biochemistry: structure and function of amino acids, proteins, carbohydrates, lipids, and nucleic acids; enzymology; metabolism; biosynthesis; and selected topics. Graduation Restriction: Only one of BBMB 3010 , 3030, or 3160 may count toward graduation; Not acceptable for credit toward a major in Biochemistry.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bbmb/
BBMB,3030,General Biochemistry,3.,Lecture 3.,,,,CHEM 3310,"Biochemistry for pre-health professions and biomedical engineering: structure and function of amino acids, proteins, carbohydrates, lipids and nucleic acids; enzyme activity; metabolism; DNA replication; RNA transcription; protein translation. Graduation Restriction: only one of BBMB 3010 , 3030, or 3160 may count toward graduation; not acceptable for credit toward a major in Biochemistry.",Spring,https://catalog.iastate.edu/azcourses/bbmb/
BBMB,3110,Writing Scientific Reports in Biochemistry,1.,,,,,Credit or concurrent enrollment in BBMB 3120,"Data analysis, presentation, and writing reports in biochemistry. Concurrent enrollment in BBMB 3120 recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/bbmb/
BBMB,3120,Experimental Research Skills in Biochemistry,2.,"Lecture 1, Laboratory 3.",,,,BBMB 1020 AND (credit or concurrent enrollment in CHEM 1780 or CHEM 2010 ),"Inquiry-based introduction to biochemical techniques such as protein purification, enzymatic assays, solution preparation, hypothesis formation and testing, data analysis, high-throughput methodology, and research record keeping. Concurrent enrollment in BBMB 3110 recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/bbmb/
BBMB,3160,Principles of Biochemistry,3.,Lecture 3.,,,,BIOL 3140 ; ( CHEM 2310 or CHEM 3310 ),"Biological systems at the molecular level; chemistry of biological macromolecules, enzyme function and regulation, basic metabolic pathways; integration of metabolism in diverse living systems. For students in biology and related majors who do not require the more rigorous treatment of biochemistry found in BBMB 4040 /4050. Graduation Restriction: Only one of BBMB 3010 , 3030, or 3160 may count toward graduation; Not acceptable for credit toward a major in Biochemistry.","Fall, Spring",https://catalog.iastate.edu/azcourses/bbmb/
BBMB,4040,Biochemistry I,3.,Lecture 3.,,,,CHEM 2310 or CHEM 3310,"Survey of biochemistry for undergraduate majors in biochemistry and related fields. The first of a comprehensive two semester series with BBMB 4050 . Chemistry of amino acids, proteins, carbohydrates, and lipids; protein structure, function, and regulation; carbohydrate metabolism. BIOL 3140 strongly recommended. Graduation Restriction: Credit for both BBMB 4200 and the BBMB 4040 - 4050 sequence may not be applied toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bbmb/
