subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SMC,2500,Principles of Sports Media and Communication,3.,Lecture 3.,,,,,"Exploration of the essential principles behind the interaction of sports and media communication. Students will understand the processes that shape how sports are portrayed, promoted, and analyzed in the media, increase their awareness of decision-making strategies within the industry, and engage in opportunities to apply theoretical concepts to practical scenarios surrounding sports media content.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3040,Sportswriting and Announcing,3.,,,,,JLMC 1100 and Minimum of C+ in JLMC 2010,"Hands-on experiences develop skills needed to write various forms of sports journalism and to provide play-by-play and color commentating duties for radio and TV sports broadcasts. Reviews history of sports media and its development from the early days of print sports coverage and radio broadcasting to modern multimedia sports coverage, including social media and podcasting.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3510,Strategic Sports Communication,3.,,,,,JLMC 1100 and Minimum of C+ in JLMC 2010,"Students create strategic brand-compliant written, creative and digital content to advocate on behalf of a specific sports team, conference or organization. Communications include game notes, game recaps, social media campaigns and feature stories. Media relations, website management, graphic design, statistics, video production, photography, crisis management and game-day operations will also be addressed.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3520,Sports Broadcast Production,3.,,,,,SMC 3040,"Analysis and understanding of the processes and procedures in sports broadcast production. Students will explore the basics of creating engaging sports broadcasts for different platforms, with equal emphasis on established techniques and emerging trends.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3530,News Coverage of Sports Industries,3.,"Lecture 2, Laboratory 2.",,,,SMC 3040,"Reporting and writing about economic, regulatory and topical issues that shape and affect recreational, amateur and professional sports at the local, national and international levels. Developing stories for appropriate platforms. Issues may include those related to financial models, health and equity, including organizational, athlete and fan experiences.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3900,Professional Skills Development,1-3.,,,,True,(Minimum of C+ in JLMC 2010 ; JLMC major or ADVRT major or PR major or SMC major),Check with Greenlee School for course availability.No More Than 3 Credits In JLMC/ADVRT/ PR 3900 May Be Applied Toward Major Requirements For Graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,3910,Short Course Intensive,1.,Lecture 1.,,,True,,Focused short courses on timely concepts. Check with Greenlee School for course availability. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4230,Sports and the Media in a 24/7 Digital World,3.,Lecture 3.,,,,,"Exploration of how digital technology constantly changes advertising, journalism and public relations practices in the sports media industry. Examination of sociological, political, legal, ethical and technological issues in high school, collegiate, and professional sports.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4900,Independent Study in Media and Communication,1-30.,,,,True,Junior or Senior classification; Instructor Permission,"Projects during which students may study problems associated with a medium, a professional specialization, a philosophical or practical concern, a reportorial method or writing technique, or a special topic in their field. Credit is not given for working on student or professional media without an accompanying research component. Graduation Restriction: No more than 3 credits of ADVRT/JLMC/PR/ SMC 4900 may be used toward a degree in the Greenlee School.",,https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4910,Sports Fieldwork,1-3.,,,,True,Instructor Permission for Course,"Students enrolled in the practicum would complete hands-on and professional-level experience in the sports media and communication field. With pre-approval from the course advisor/instructor, a student can choose to work in collaboration with a range of sports- and/or media-related organizations, dependent on the project's needs and skill set of the student.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4950,Senior Integrative Capstone,3.,,,,,SMC 3040 and SMC major,"Students synthesize knowledge, ideas, courses and experiences of their undergraduate program with a multidisciplinary, project-based learning approach. During this intensive culmination of their academic work, students explore complex subjects and real-world issues related to the philosophical, sociological, ethical and legal aspects of sports communication. This process enables students to demonstrate research, critical thinking, creative and communication skills needed to prepare for careers in an integrated media environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4970,Special Topics in Communication,1-3.,Lecture 3.,,,True,Junior classification,Seminars or one-time classes on topics of relevance to students in communication. See Schedule of Classes for topics.,,https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4990A,Professional Media Internship: Required,3.,,,,,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Initial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
SMC,4990B,Professional Media Internship: Optional,1-3.,,,,True,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Optional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sportsmediaandcommunication/
