subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AMIN,2010,Native People in American Culture,3.,Lecture 3.,,,,,"Perceptions and realities of Native people living in and responding to American society and culture. Topics include representations, contemporary Native identity, literature, the arts, history, film, and issues of diversity. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/am_in/
AMIN,2050,American Indians in the Movies,3.,Lecture 3.,,,,,"Examines the role of American Indians in the movie industry. Explores the development of American Indian characters and filmmaking, and the relevance for Native communities, through feature films and academic analysis. One focus is a comparison of non-Native and Native films in form, content, and message, and the changing character of Native representation in both. Offered irregularly. Meets U.S. Cultures and Communities Requirement.",Summer,https://catalog.iastate.edu/azcourses/am_in/
AMIN,2100,Introduction to American Indian Studies,3.,Lecture 3.,,,,,"Introduction to the multidisciplinary aspects of American Indian Studies. Topics include the relevant events and ideas defining the contemporary American Indian experience, on and off reservation, in the United States. Sovereignty, identity, jurisdiction, taxes, economic development, education, and other issues are addressed. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/am_in/
AMIN,2250,American Indians of Iowa,3.,Lecture 3.,,,,,"Cultures and histories of Native people who have called the present state of Iowa home; primary focus on the period between 1700 CE and the present; Native interactions with Spanish, French, British, and American people. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/am_in/
AMIN,2400,Introduction to American Indian Literature,3.,Lecture 3.,,,,Credit in or enrollment in ENGL 1500 or 2500,"Survey of American Indian Literature of varying genres, including fiction, non-fiction, poetry, film, drama, and media. Focuses on interdisciplinary approaches to American Indian cultural, social, and environmental issues. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/am_in/
AMIN,3100,Contemporary Topics in American Indian Studies,3.,Lecture 3.,,,,,Examines contemporary issues and important topics affecting Native communities overall. AMIN 2100 recommended. Offered irregularly.,"Fall, Spring",https://catalog.iastate.edu/azcourses/am_in/
AMIN,3110,Federal Indian Law and Policy,3.,Lecture 3.,,,,,"Examines the impact of federal American Indian policies on Native communities, especially contemporary Indian Country and communities. Topics include sovereignty, recognition, the role of the Supreme Court, specific policies like allotment, and other relevant issues. AMIN 2100 recommended. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/am_in/
AMIN,3120,American Indian Education,3.,Lecture 3.,,,,,"Examines current and historical issues in American Indian education. Topics include traditional education, changes to formal education, tribal colleges and universities, current school systems, and other relevant topics. AMIN 2100 recommended. Offered odd-numbered years. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/am_in/
AMIN,3130,"Native Land, Water, and Resources",3.,Lecture 3.,,,,,"Examines Native land rights, water rights, and natural resources. Topics may include Native relations to landscapes, cultural resources and infrastructure projects, land rights, water usage agreements, and resource policies as they apply to on- and off-reservation Native communities. AMIN 2100 recommended. Offered even-numbered years. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/am_in/
AMIN,3150,Archaeology of North America,3.,Lecture 3.,,,,ANTHR 2020,Prehistory and early history of North America as reconstructed from archaeological evidence; peopling of the New World; culture- historical sequences of major culture areas; linkages of archaeological traditions with selected ethnohistorically known Native American groups.,Spring,https://catalog.iastate.edu/azcourses/am_in/
