subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
LING,1010,Introduction to the Study of Linguistics,1.,Lecture 1.,,,,,Cross-disciplinary perspectives on the study of linguistics. Applications of linguistics to real world problems. Careers in linguistics.,Spring,https://catalog.iastate.edu/azcourses/ling/
LING,1180X,Animal Communication,3.,Lecture 3.,,,,,"Study of communication systems of non-human animals, including but not limited to parrots, crows, and songbirds, the great apes, bees, mice, orcas and other whales/dolphins, cephalopods, canines, and felines. Linguistic and grammatical comparison to human communication, verbal and nonverbal. Comparison of animal-to-human communication in the wild vs. in captivity. Exploration of animals’ potential cognitive abilities through the lens of linguistic structures and AI/machine learning, with ultimate goal of improving and fine-tuning interspecies communication and understanding. No prior linguistics or animal behavior knowledge required.","Fall, Spring",https://catalog.iastate.edu/azcourses/ling/
LING,1190,Introduction to World Languages,3.,Lecture 3.,,,,,"Study of language diversity and the personal, social and political effects of diversity. Language families, attitudes toward language and language use, language and culture, multilingualism, foreign language learning, written codes, official languages, and language policy. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/ling/
LING,1200,Computers and Language,3.,Lecture 3.,,,,,Introduction to the use of linguistic knowledge in computer applications today and the basic computational techniques used in such applications. The development of these techniques throughout the history of computational linguistics. How the study of language has contributed to the advancement of technology and how certain computational problems have influenced the way linguists study language.,,https://catalog.iastate.edu/azcourses/ling/
LING,1690X,A Linguistic Approach to Taboo Language,3.,Lecture 3.,,,,,"An introduction to linguistics through the study of taboo language. Topics such as etymology of taboo words, psychological effects of swearing, cross-cultural taboos, and censorship. Students sensitive to explicit language or those with only a non-scholarly interest in taboo language are discouraged from enrolling.",Spring,https://catalog.iastate.edu/azcourses/ling/
LING,2070,Introduction to Symbolic Logic,3.,Lecture 3.,,,,,Introduction to fundamental logical concepts and logical symbolism. Development of natural deduction through first order predicate logic with identity. Applications to arguments in ordinary English and to philosophical issues. Linguistics majors should take LING/ PHIL 2070 as early as possible.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ling/
LING,2190,Introduction to Linguistics,3.,Lecture 3.,,,,,"Introduction to linguistic concepts and principles of linguistic analysis with English as the primary source of data. Sound and writing systems, sentence structure, vocabulary, and meaning. Issues in the study of usage, regional and social dialects, language acquisition, and language change.","Fall, Spring",https://catalog.iastate.edu/azcourses/ling/
LING,2200,Descriptive English Grammar,3.,Lecture 3.,,,,,"Overview of grammatical structures and functions. Parts of speech; phrase, clause, and sentence structure; sentence types and sentence analysis; rhetorical grammar and sentence style; terminology. Not a remedial, English composition, or ESL course.","Fall, Spring",https://catalog.iastate.edu/azcourses/ling/
LING,2210X,Introduction to Communication Disorders,3.,Lecture 3.,,,,,"Overview of speech, language, and hearing differences across the lifespan. Exploration of how we produce speech and language, how communication can break down, and how professionals support individuals with various communication needs. Topics include speech sound disorders, aphasia, developmental language disorders, voice and swallowing disorders, and hearing loss. Examination of contemporary, affirming perspectives on communication variation — particularly as related to Stuttering and Deafness.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ling/
LING,3090,Introduction to Culture and Language,3.,Lecture 3.,,,,,"Introduction to study of language, culture and society from an anthropological perspective. Focus on language and thought, ethnography of speaking, discourse and narrative, writing and literacy, and media communication. Discussion of key theories and methods of linguistic anthropology. ANTHR 2010 recommended. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/ling/
