subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
CHE,1040,Chemical Engineering Learning Community,Required.,Lecture 1.,,,,,Curriculum in career planning and academic course support for Freshmen learning team.,Fall,https://catalog.iastate.edu/azcourses/ch_e/
CHE,1600,Chemical Engineering Problems with Computer Applications Laboratory,3.,"Lecture 2, Laboratory 2.",,,,( MATH 1430 or satisfactory scores on mathematics placement examinations) AND ( MATH 1650 or satisfactory scores on mathematics placement examinations),"Formulation and solution of engineering problems. Significant figures. Use of SI units. Graphing and curve-fitting. Flowcharting. Introduction to material balances, engineering economics, and design. Use of spreadsheet programs to solve and present engineering problems. Solution of engineering problems using computer programming languages. Chemical Engineering examples. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/.Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CHE 1600 , CE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
CHE,2020,Chemical Engineering Seminar,Required.,Lecture 1.,,,,,"Professionalism in the context of the engineering/technical workplace. Introduction to chemical engineering career opportunities. Process and workplace safety. Development and demonstration of key workplace competencies: teamwork, professionalism and ethical responsibility, ability to engage in life-long learning, and knowledge of contemporary issues. Resumes; professional portfolios; preparation for internship experiences. Restricted to CHE majors. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ch_e/
CHE,2040,Chemical Engineering Continuing Learning Community,Required.,Lecture 1.,,,,,"Curriculum and career planning, academic course support for learning community.",,https://catalog.iastate.edu/azcourses/ch_e/
CHE,2050,Chemical Engineering Progress Assessment,Required.,Lecture 1.,,,,"CHEM 1780 , MATH 1660 , CHE 1600","Assessment of proficiency in general chemistry, calculus (including infinite series and applications of derivatives and integrals), and material balances, and an ability to use the principles of science and mathematics to identify, formulate, and solve engineering problems. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
CHE,2100,Material and Energy Balances,3.,Lecture 3.,,,,"CHEM 1780 , MATH 1660 , CHE 1600","Introduction to chemical processes. Physical behavior of gases, liquids, and solids. Application of material and energy balances to chemical engineering equipment and processes.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
CHE,2200,Introduction to Biomedical Engineering,3.,Lecture 3.,,,,BIOL 2120 ; ( CHEM 1670 or CHEM 1770 ); ( ABE 1600 or AERE 1600 or BME 1600 or CE 1600 or CHE 1600 or CPRE 1850 or EE 1850 or ENGR 1600 or IE 1600 or ME 1600 or SE 1850); MATH 1660 ; PHYS 2320,"Engineering analysis of basic biology and engineering problems associated with living systems and health care delivery. The course will illustrate biomedical engineering applications in such areas as: biotechnology, biomechanics, biomaterials and tissue engineering, and biosignal and image processing, and will introduce the basic life sciences and engineering concepts associated with these topics.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
CHE,2900,Introduction to Undergraduate Research/Independent Study,1.,,,,True,Instructor Permission for CHE Course,"Introduction to independent study with emphasis on skills necessary to pursue further independent study of a topic of special interest to student and faculty. Topics may include introductions to laboratory safety, standard operating procedures, design of experiments, data analysis, computational methods, literature searches, and professional communications. Pre-enrollment contract between student and instructor required. Graduation Restriction: Not applicable to the B.S. in Chemical Engineering degree. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ch_e/
CHE,3100,Computational Methods in Chemical Engineering,3.,Lecture 3.,,,,"CHE 1600 , CHE 2050 , CHE 2100 , MATH 2650","Numerical methods for solving systems of linear and nonlinear equations, ordinary differential equations, numerical differentiation and integration, and nonlinear regression using chemical engineering examples.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
CHE,3250,Chemical Engineering Laboratory I,2.,Laboratory 4.,,,,CHE 3570 ; CHE 3810 ; ( STAT 2310 or STAT 3050 ); (Credit or concurrent enrollment in ENGL 3090 or ENGL 3120 or ENGL 3140 or JLMC 3470 ),"Experiments covering fundamental material and energy balances, momentum and energy transport operations, and thermodynamics. Computer applications.","Fall, Spring",https://catalog.iastate.edu/azcourses/ch_e/
