subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BCBIO,1100,BCBIO Orientation,0.5.,Lecture 0.5.,,,,,First 8 weeks. Orientation to the area of bioinformatics and computational biology. For students considering a major in BCBIO. Specializations and career opportunities. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,3220,Introduction to Bioinformatics and Computational Biology,3.,Lecture 3.,,,,BIOL 2120,"Genome sequencing, assembly, structural and functional annotation, and comparative genomics. Investigating these topics will develop skills in programming and scripting (Perl and/or Python), the use of biological databases, sequence alignment, similarity search, identification of sequence patterns, construction of phylogenetic trees, and comparative genomics.",Fall,https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4010,Bioinformatics of Sequences,3.,Lecture 3.,,,,BCBIO 3220 ; ( COMS 1270 OR COMS 2270 ); ( MATH 1600 or MATH 1650 ); ( MATH 1660 or STAT 3010 ); ( STAT 1010 or STAT 1040 or STAT 3300 ) or Permission of Instructor,"Application of computer science and statistics to molecular biology with a significant problem-solving component, including hands-on programming using Python to solve a variety of biological problems. String algorithms, sequence alignments, homology search, pattern discovery, genotyping, genome assembly, genome annotation, comparative genomics, protein structure. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4060,Bioinformatics of OMICS,3.,Lecture 3.,,,,BIOL 2120,"Introduction to cutting edge OMICS analyses including transcriptome, proteome, metabolome, DNA-protein interactome, protein-protein interactome and methylome. Genomic analysis including transcriptome analysis, cancer genomics, comparative genomics, and regulatory network analysis.",Spring,https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4230,Mathematical Modeling in Biology,3.,Lecture 3.,,,,MATH 2660 or MATH 2670,"Introduction to mathematical techniques for modeling and simulation, parameter identification, and analysis of biological systems. Applications drawn from many branches of biology and medicine. Apply differential equations, difference equations, and dynamical systems theory to a wide array of biological problems. MATH 2650 or equivalent recommended.",Fall,https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4420A,Bioinformatics and Computational Biology Techniques: Sequence Database Searching,0.5.,"Lecture 0.3, Laboratory 0.5.",,,True,,"Modular minicourses consisting of guided tutorials and hands-on computer software exercises focused on fundamental problems, approaches, and software applications in bioinformatics and computational biology. BIOL 3140 recommended. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4420B,"Bioinformatics and Computational Biology: Protein Structure Databases, Visualization, and Prediction",0.5.,"Lecture 0.3, Laboratory 0.5.",,,True,,"Modular minicourses consisting of guided tutorials and hands-on computer software exercises focused on fundamental problems, approaches, and software applications in bioinformatics and computational biology. BIOL 3140 recommended. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4420C,Bioinformatics and Computational Biology Techniques: Phylogenetic Analysis,0.5.,"Lecture 0.3, Laboratory 0.5.",,,True,,"Modular minicourses consisting of guided tutorials and hands-on computer software exercises focused on fundamental problems, approaches, and software applications in bioinformatics and computational biology. BIOL 3140 recommended. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4420D,Bioinformatics and Computational Biology Techniques: Microarray Analysis,0.5.,"Lecture 0.3, Laboratory 0.5.",,,True,,"Modular minicourses consisting of guided tutorials and hands-on computer software exercises focused on fundamental problems, approaches, and software applications in bioinformatics and computational biology. BIOL 3140 recommended. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4900,Independent Study,1-5.,,,,True,BCBIO 3220; Junior or Senior classification; Permission of Instructor,Independent research projects for undergraduate students in bioinformatics and computational biology.Graduation Restriction: Students in the College of Liberal Arts and Sciences may use no more than 9 credits of BCBIO 4900 and 4910 toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,4910,Team Research Projects,1-5.,,,,True,BCBIO 3220; Junior or Senior classification; Permission of Instructor,Research projects in bioinformatics and computational biology done by teams of students.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bcbio/
BCBIO,5230,Mathematical Modeling in Biology,3.,Lecture 3.,,,,MATH 2660 or MATH 2670 or Graduate Classification,"Introduction to mathematical techniques for modeling and simulation, parameter identification, and analysis of biological systems. Applications drawn from many branches of biology and medicine. Apply differential equations, difference equations, and dynamical systems theory to a wide array of biological problems. MATH 2650 or equivalent recommended.",Fall,https://catalog.iastate.edu/azcourses/bcbio/
