subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MUSIC,1010,Fundamentals of Music,2.,,,,,,"Notation, recognition, execution and analysis of scales, intervals, triads, and rhythm; key signatures; time signatures; transposition. Open to non-majors only. Ability to read elementary musical notation required.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1020,Introduction to Music Listening,3.,Lecture 3.,,,,,"Expansion of the music listening experiences for the general student through greater awareness of differences in techniques of listening, performance media, and materials of the art. The course focuses on the elements of music: rhythm, melody, harmony, form, and style, and how these elements are used in musics of different cultures and time periods. Ability to read or perform music not required. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/music/
MUSIC,1050,Basic Musicianship,3.,"Lecture 1, Laboratory 4.",,,,Performing Arts major or Permission of Instructor,"Beginning keyboard techniques, sight-reading, and ear training. Basic materials of music: notation, scales, intervals, key signatures, time signatures, rhythm, and harmony.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1110,Wind Ensemble,1.,Laboratory 3.,,,True,,Emphasis on significant extended compositions for wind and percussion instruments. Performances include formal concerts on campus and the annual tour. Open to all students by audition.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1120,Concert Band,1.,Laboratory 2.,,,True,,Repertoire includes the broad spectrum of band music. Two concerts are presented each semester. Open to students who have performed on a wind or percussion instrument in high school band or orchestra.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1130,Jazz Ensemble,1.,Laboratory 2.,,,True,,Designed to explore various styles and trends in contemporary jazz. Open to all students by audition.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1140A,Marching and Pep Bands: Marching Band,1.,Laboratory 5.,,,True,,"Membership determined by audition and band application. Auditions held for woodwind, brass, percussion, flag, and twirler positions. Presentation of pre-game and half time shows at each home football game; additional performances are also scheduled on and off campus. Audition information is listed on the band website (www. cyclonemarchingband.iastate.edu). Students may not be concurrently enrolled in MUSIC 1140A and 1140C.",Fall,https://catalog.iastate.edu/azcourses/music/
MUSIC,1140B,Marching and Pep Bands: Pep Band,1.,Laboratory 5.,,,True,,Performances at basketball games. Students selected by audition from members of MUSIC 1140A .,Fall,https://catalog.iastate.edu/azcourses/music/
MUSIC,1140C,Marching and Pep Bands: Pep Band for Wrestling and Soccer,1.,Laboratory 5.,,,True,,Performances at wrestling and women’s soccer games. Audition required. Graduation Restriction: Students may not be concurrently enrolled in MUSIC 1140A and 1140C.,Fall,https://catalog.iastate.edu/azcourses/music/
MUSIC,1150,Symphonic Band,1.,Laboratory 3.,,,True,,Stresses high quality wind literature. Performances include formal concerts on campus. Open to all students by audition.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180A,Applied Music: Non-majors: Voice,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Audition required. Graduation Restriction: Will not satisfy applied music requirements for music majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180B,Applied Music: Non-majors: Piano,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Audition required. Graduation Restriction: Will not satisfy applied music requirements for music majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180C,Applied Music: Non-majors: Organ,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Will not satisfy applied music requirements for music majors. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180D,Applied Music: Non-majors: Strings,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Will not satisfy applied music requirements for music majors. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180E,Applied Music: Non-majors: Carillon,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Will not satisfy applied music requirements for music majors. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180F,Applied Music: Non-majors: Woodwinds,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Will not satisfy applied music requirements for music majors. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180G,Applied Music: Non-majors: Brass,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Audition required. Graduation Restriction: Will not satisfy applied music requirements for music majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180I,Applied Music: Non-majors: Percussion,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Audition required. Graduation Restriction: Will not satisfy applied music requirements for music majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1180K,Applied Music: Non-majors: Harpsichord,1-2.,Studio 2.,,,True,Instructor Permission for Course,(.5-0) for 1 cr. (1-0) for 2 cr. Applied music for the general student. Open only to non-majors. Audition required. Graduation Restriction: Will not satisfy applied music requirements for music majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190A,Applied Music for Majors: Voice,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190B,Applied Music for Majors: Piano,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190C,Applied Music for Majors: Organ,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190D,Applied Music for Majors: Strings,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190E,Applied Music for Majors: Carillon,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190F,Applied Music for Majors: Woodwinds,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190G,Applied Music for Majors: Brass,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190I,Applied Music for Majors: Percussion,2-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1190K,Applied Music for Majors: Harpsichord,1-3.,Studio 2.,,,True,MUSIC major OR Permission of instructor.,(.5-2) for 1 cr. (1-2) for 2-3 cr. Minimum weekly practice of 5 hours per credit is expected. Weekly seminar required. Audition required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1200,Introduction to Music Literature and Styles,3.,Lecture 3.,,,,,"Directed studies via aural analysis for music majors with emphasis on the materials of music, form and aesthetic issues. Introduction to style and literature of the major performance media in context of historical chronology. Fundamentals of score reading and performance terminology. Graduation Restriction: Only one of MUSIC 1200 and 3020 can count toward graduation.",Spring,https://catalog.iastate.edu/azcourses/music/
MUSIC,1250,Class Voice,1.,Laboratory 2.,,,True,,Individual voice study in a communal master class setting designed to introduce collegiate level singing to Performing Arts majors and non-music (voice) majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1270,Class Study in Piano I,1.,Laboratory 2.,,,,MUSIC major or Permission of Instructor,"Beginning keyboard technique, transposition, harmonization, ensemble and solo repertory, and sight-reading skills.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1280,Class Study in Piano II,1.,Laboratory 2.,,,,,"Continuation of beginning keyboard technique, transposition, harmonization, ensemble and solo repertory, and sight-reading skills.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1410,Lyrica Ensemble,1.,Laboratory 2.,,,True,,Large chorus; emphasis on wide variety of literature and singing sounds from around the world. Includes fundamental voice and choral skills. Campus concerts each semester. Open to all treble voice students by audition.,"Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1510A,University Chorus: Cantamus Women's Choir,1.,Laboratory 3.,,,True,,"Large chorus; emphasis on adventurous, contemporary programming. Advanced skills required. Campus concerts each semester, some in conjunction with orchestra. Open to all treble voice students by audition.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
MUSIC,1510B,University Chorus: Statesmen Men's Choir,1.,Laboratory 3.,,,True,,"Advanced skills required, high quality literature. Campus concerts each semester, some concerts in conjunction with orchestras. Men's and women's choirs separately and in combination. Open to all students by audition.","Fall, Spring",https://catalog.iastate.edu/azcourses/music/
