subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
AFAS,1030,Introductory Leadership Laboratory with Physical Training,2.,Laboratory 4.,,,True,,"Instruction for new cadets on Air Force customs and courtesies; drill and ceremonies, issuing military commands, studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers while also using basic military training skills and instruction to develop confidence, leadership, and communication skills through physical fitness. Full participation in all events will be determined based on student's physical and medical eligibility. Membership as a cadet in AFROTC recommended. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/afas/
AFAS,1410,Foundations of the United States Air Force,1.,Lecture 1.,,,,,"Explore the core values of the Department of the Air Force through hands-on activities designed to foster personal growth. This course develops practical skills in followership, accountability, initiative, resilience, and problem-solving. Students will cultivate essential leadership traits and a growth mindset, preparing them to excel in both military and professional environments.",Fall,https://catalog.iastate.edu/azcourses/afas/
AFAS,1420,Foundations of the United States Air Force,1.,Lecture 1.,,,,,"Examine the nature of conflict and the Air Force's role in national security through engaging, hands-on exercises. Students will explore how the instruments of power shape the global landscape and review strategic concepts vital to safeguarding U.S. interests. Through active learning, this course emphasizes the development of leadership traits and a deeper understanding of the Air Force's critical contributions to national and global security.",Spring,https://catalog.iastate.edu/azcourses/afas/
AFAS,2030,Basic Leadership Laboratory with Physical Training,2.,Laboratory 4.,,,True,,"Instruction and critique of cadets on Air Force customs and courtesies, drill and ceremonies, and issuing military commands in preparation for AFROTC summer Field Training while also using basic military training skills and instruction to develop confidence, leadership, and communication skills through physical fitness. Full participation in all events will be determined based on student's physical and medical eligibility. Membership as a cadet in AFROTC recommended. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/afas/
AFAS,2410,The Evolution of USAF Air & Space Power I,1.,Lecture 1.,,,,,"Examines the general aspects of air and space power through a historical perspective. Utilizing this perspective, the course covers a time period from the first balloons and dirigibles to the Korean War. Historical examples are provided to illustrate the development of airpower capabilities and missions to demonstrate the evolution of what has become today's USAF air and space power.",Fall,https://catalog.iastate.edu/azcourses/afas/
AFAS,2510,Team and Leadership Fundamentals,1.,Lecture 1.,,,,,"Measuring character through self-assessment and its importance for leadership and team building. The importance of listening and communication for mission accomplishment. Leadership, team building, and problem solving skills in the context of Air Force core values.",Fall,https://catalog.iastate.edu/azcourses/afas/
AFAS,2520,Team and Leadership Fundamentals II,1.,Lecture 1.,,,,,"Defining leadership through the lens of human relations, conflict and stress management, and ethical decision making. The importance of leveraging diversity and collaborative relationships with negotiating and resiliency techniques in the context of Air Force core values.",Spring,https://catalog.iastate.edu/azcourses/afas/
AFAS,3030,Intermediate Leadership Laboratory with Physical Training,2.,Laboratory 4.,,,True,,"Mid-level management of leadership experience involving planning and controlling of most AFROTC military activities. Students will help senior leadership to prepare and present briefings and other oral and written communications; provide interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets; and use advanced military training skills and instruction to develop confidence, leadership, and communication skills through physical fitness. Full participation in all events will be determined based on student's physical and medical eligibility. Membership as a cadet in AFROTC recommended. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/afas/
AFAS,3410,Air Force Leadership Studies I,3.,Lecture 3.,,,,,"Presents the complex issues of leadership and management in the U.S Air Force; a large and diverse organization. The theoretical aspects of leadership, management, communications, motivation and problem-solving are examined and studied against the backdrop of the U.S. Air Force.",Fall,https://catalog.iastate.edu/azcourses/afas/
AFAS,3420,Air Force Leadership Studies II,3.,Lecture 3.,,,,AFAS 3410,"A continuation of AFAS 3410 . Examines the theoretical aspects of leadership, management, communications, and supervisory skills while studying them against the backdrop of the U.S. Air Force.",Spring,https://catalog.iastate.edu/azcourses/afas/
AFAS,4030,Advanced Leadership Laboratory with Physical Training,2.,Laboratory 4.,,,True,,"Advanced leadership experience involving the planning and controlling of all upper-level AFROTC military activities. Students will prepare and present briefings and other oral and written communications; provide interviews, guidance, and information that will increase the understanding, motivation, and performance of other cadets; and use advanced military training skills and instruction to develop confidence, leadership, and communication skills through physical fitness. Full participation in all events will be determined based on student's physical and medical eligibility. Membership as a cadet in AFROTC recommended. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/afas/
AFAS,4410,National Security Studies,3.,Lecture 3.,,,,,"Traces constitutional roots of authority and responsibilities to the Air Force officer, to include development of national security and strategy that defines US military policy and priorities. Applies legislation, joint doctrine, and relationships of operational and administrative authority concepts in the US military in the context of regional studies.",Fall,https://catalog.iastate.edu/azcourses/afas/
AFAS,4420,Preparation for Active Duty,3.,Lecture 3.,,,,,"Explores the range of professional, personal and social support structures available to US Air Force officers on active duty. Examines practical supervision tools to manage expectations, career development, and disciplinary action leading to the oath of office and acceptance of a commission in the US Air Force. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/afas/
AFAS,4830,Situational Leadership Laboratory with Physical Training,2.,Laboratory 4.,,,True,,Situational leadership laboratory is for extended cadets that have completed the AFROTC curriculum but have not finished their degree. This provides an opportunity to continue growing as a leader in supervisory and mentorship positions while assisting the cadre with planning and controlling of all upper-level AFROTC military activities. Extended cadets will have the opportunity to work directly with cadre on special projects and duties that further prepare them for life as an active duty officer. Full participation in all events will be determined based on student's physical and medical eligibility. Membership as a cadet in AFROTC recommended. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/afas/
