subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
RUS,1010,Introduction to Russian Language and Culture I,4.,Lecture 4.,,,,,"Introduction to the Russian language (focusing on the development of speaking, listening, reading and writing skills) and Russian culture.",Fall,https://catalog.iastate.edu/azcourses/rus/
RUS,1020,Introduction to Russian Language and Culture II,4.,Lecture 4.,,,,( RUS 1010 ) OR (Score up to 300 on Russian WLC Placement Exam),"Continuation of RUS 1010 . Introduction to the Russian language (focusing on the development of speaking, listening, reading and writing skills) and Russian culture. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/rus/
RUS,2010,Intermediate Russian I,4.,Lecture 4.,,,,( RUS 1020 ) OR (Score between 300 - 400 on Russian WLC Placement Exam),Thorough review of grammar and growth of vocabulary. Selected readings. Continued use of the four basic skills. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/rus/
RUS,2020,Intermediate Russian II,4.,Lecture 4.,,,,( RUS 2010 ) OR (Score between 300 - 400 on Russian WLC Placement Exam),Thorough review of grammar and growth of vocabulary. Selected readings. Continued use of the four basic skills. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/rus/
RUS,3010,Composition and Conversation,3.,Lecture 3.,,,,( RUS 2020 ) OR (Score greater than 400 on Russian WLC Placement Exam),"Thorough study of the Russian language, with emphasis on strengthening proficiency in writing, speaking, reading, and listening. Increased focus on syntax and word formation. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/rus/
RUS,3040,Russian for Global Professionals,3.,Lecture 3.,,,,( RUS 1020 ) OR (Score greater than 400 on Russian WLC Placement Exam),Communication in business and professional contexts in Russian-speaking countries. Development of effective communication strategies and project management in the workplace. Cultural contexts of business and professional practice. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/rus/
RUS,3140,Reading Russian Literary and Cultural Texts,3.,Lecture 3.,,,True,( RUS 1020 ) OR (Score greater than 400 on Russian WLC Placement Exam),Selected readings in Russian literature and culture. Emphasis on techniques of reading and analysis of literary and cultural texts. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/rus/
RUS,3700,Russian Studies in English Translation,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3700A,Russian Studies in English Translation: Topics in Russian Literature,3.,Lecture 3.,,,True,,"Focus on Russian literature. Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3700B,Russian Studies in English Translation: Russian Fairy Tales,3.,Lecture 3.,,,True,,"Focus on Russian fairy tales. Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3700R,Studies in English Translation: Russian Topics on Women or Feminism,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3750,Russia Today,3.,Lecture 3.,,,True,,"A survey of social, political, economic, and cultural topics relevant to contemporary Russia. Readings, discussions and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3780,Russian Film Studies in English,3.,Lecture 3.,,,,,"Analysis and interpretation of cinema in Russia and the Soviet Union. Topics vary according to faculty interest. Film directors, genres, movements, historical survey, aesthetics, and cinematography. Readings, discussions and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,3950,Study Abroad,1-6.,,,,True,,"Supervised instruction in language and culture of Russia; formal class instruction at level appropriate to student's training, augmented by practical living experience. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/rus/
RUS,4900,Independent Study,1-6.,,,,True,6 credits in Russian and permission of department chair,"Designed to meet the needs of students who seek work in areas other than those in which courses are offered, or who desire to integrate a study of literature or language with special problems in major fields. Graduation Restriction: No more than 9 credits of RUS 4900 may be counted toward graduation.",,https://catalog.iastate.edu/azcourses/rus/
RUS,4990,Internship in Russian,1-3.,,,,True,,Work experience using Russian language skills in the public or private sector combined with academic work under faculty supervision. Available only to minors. Graduation Restriction: No more than 3 credits may be applied to the minor.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/rus/
RUS,5900A,Special Topics in Russian: Literature or Literary Criticism,2-4.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/rus/
RUS,5900B,Special Topics in Russian: Linguistics,2-4.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/rus/
RUS,5900C,Special Topics in Russian: Language Pedagogy,2-4.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/rus/
RUS,5900D,Special Topics in Russian: Civilization,2-4.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/rus/
