subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
WLC,1070,Introduction to Swahili,1.,Lecture 1.,,,,,Basics of grammar and vocabulary within the context of the cultures where Swahili is spoken. For students whose native language is not Swahili. Taught in Swahili. Offered on-line. Offered irregularly.,Spring,https://catalog.iastate.edu/azcourses/wlc/
WLC,1190,Introduction to World Languages,3.,Lecture 3.,,,,,"Study of language diversity and the personal, social and political effects of diversity. Language families, attitudes toward language and language use, language and culture, multilingualism, foreign language learning, written codes, official languages, and language policy. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,2030X,The Global Professional: International Career Preparation,1.,Lecture 1.,,,,,"This course equips students in all fields of study with the knowledge, skills, and mindset to pursue international careers. Asynchronous online modules cover topics including global career research, intercultural competency for the job market, international networking strategies, language study for global careers, cross-cultural negotiation, resume and cover letter adaptation, and personal branding for the global market. Students who successfully complete this course will be equipped with the knowledge, skills, and job market materials to execute international internship and job searches. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/wlc/
WLC,2050,World Religions,3.,Lecture 3.,,,,,"An introduction to religious studies - the academic study of religion. Religions from around the world will be discussed, including their myths, rituals, beliefs, values, and social forms. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/wlc/
WLC,2100,Introduction to Asian American Studies,3.,Lecture 3.,,,,,"An interdisciplinary and chronological examination of Asian American immigration experiences from the early 19th century to the 21st century. Focus on how these immigration histories are accompanied by changing racial constructions. Discussion of racial stereotyping, the model minority myth, identity development, and efforts for social justice. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,2700,Cultures in Transition,3.,Lecture 3.,,,,,"An interdisciplinary introduction to a world region in a state of rapid social and cultural transition. Discussion of the history, social and political institutions, arts, economy, agriculture, and environment of the new nations. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3520,Religions of India,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"Study of texts, practices, beliefs, historical development, and mutual influence of a variety of the religious traditions of India. Emphasis on Vedic religion and the diversity of traditions of Classical Hinduism; survey of Buddhist, Jain, Sikh, and South Asian Islamic traditions. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3580,Islam,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"An introduction to Islamic religion, culture, and society from its origins to the present. Topics include the Quran, the Prophet Muhammad, Islamic theology and philosophy, Islamic history, and Islam in America. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3590,The Quran,3.,Lecture 3.,,,,ENGL 2500 or Permission of Instructor,"A study of the Quran, the sacred text of Islam, with attention to its history, its major themes, and the diverse ways it is interpreted and applied. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3700A,Topics in World Languages and Cultures in English Translation: Global Sustainability,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women's writing, cinema, or cultural studies of a non-English speaking world culture or cultures. Readings, discussion, and written work in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3700B,Topics in World Languages and Cultures in English Translation: Middle East,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women's writing, cinema, or cultural studies of a non-English speaking world culture or cultures. Readings, discussion, and written work in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3700C,Topics in World Languages and Cultures in English Translation: Global Urban Cultures,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women's writing, cinema, or cultural studies of a non-English speaking world culture or cultures. Readings, discussion, and written work in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,3710,The Arabian Nights,3.,Lecture 3.,,,,,"Focus on the tales of the famous ‘1001 Arabian Nights’ book. Discussions of the narrative tools, supernatural elements, and the culture of the Medieval Middle East. Readings, discussions, and papers in English. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/wlc/
WLC,4170G,Student Teaching: World Language,1-30.,,,,True,Admitted to the Educator Preparation Program,"Evaluation of instruction, lesson planning, and teaching in world languages, secondary grades.","Fall, Spring",https://catalog.iastate.edu/azcourses/wlc/
WLC,4840,"Technology, Globalization and Culture",3.,Lecture 3.,,,,Junior or Senior Classification,"Cross-disciplinary examination of the present and future impact of globalization with a focus on preparing students for leadership roles in diverse professional, social, and cultural contexts. Facilitate an understanding of the threats and opportunities inherent in the globalization process as they are perceived by practicing professionals and articulated in debates on globalization. Use of a digital forum for presenting and analyzing globalization issues by on-campus and off-campus specialists. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/wlc/
WLC,4860,Methods in Elementary School World Language Instruction,3.,Lecture 3.,,,,25 credits in a World Language,"Planning, implementation, and assessment of standards-based, student-centered, and thematic instruction in the elementary (K-8) classroom. Special emphasis on K-8 students' communicative skills, cultural knowledge, and content learning.",Fall,https://catalog.iastate.edu/azcourses/wlc/
WLC,4870,Methods in Secondary School World Language Instruction,3.,Lecture 3.,,,,25 credits in a world language; Department Permission,Theories and principles of contemporary world language learning and teaching. Special emphasis on designing instruction and assessments for active learning. Admission to teacher education required.,Fall,https://catalog.iastate.edu/azcourses/wlc/
WLC,4910,Experiences Abroad: Learning to Think Globally,1.,Lecture 1.,,,True,Minimum of 3 credits of study abroad and/or internship abroad,"Students returning from study abroad gain perspective on the personal, academic, and professional impact of their time spent abroad through readings and discussions. Students will be expected to make one presentation about the culture they experienced to an audience outside ISU. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/wlc/
WLC,5170G,Student Teaching: World Language,1-30.,,,,True,Admitted to the Educator Preparation Program,"Evaluation of instruction, lesson planning, and teaching in world languages, secondary grades.","Fall, Spring",https://catalog.iastate.edu/azcourses/wlc/
WLC,5840,"Technology, Globalization and Culture",3.,Lecture 3.,,,,Graduate classification,"Cross-disciplinary examination of the present and future impact of globalization with a focus on preparing students for leadership roles in diverse professional, social, and cultural contexts. Facilitate an understanding of the threats and opportunities inherent in the globalization process as they are perceived by practicing professionals and articulated in debates on globalization. Use of a digital forum for presenting and analyzing globalization issues by on-campus and off-campus specialists. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/wlc/
