subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FFP,5200,Financial Theory and Research I,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Theories of family functioning, macroeconomic theory related to family resource allocation decisions, the family as an economic unit, and the interaction of the economy and families.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5250,Financial Theory and Research II,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Microeconomic theory as it relates to family resource allocation decisions, theories of household behavior, the lifecycle hypothesis, behavioral economics, behavioral finance, theories of behavioral change, and psychological theories of family well-being. Focus on empirical research investigating household financial decision-making.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5300,Fundamentals of Family Financial Planning,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the financial planning process and establishing client-planner relationships. Applied work in cash flow, credit and debt, income tax, insurance, investment, retirement and estate planning. Review of services provided to families, documentation required, ethics in financial planning, and Certified Financial Planner licensee responsibilities.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5350,Financial Counseling,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Theory and research regarding the interactive process between the client and the practitioner, including communication techniques, motivation and esteem building, the counseling environment, ethics, and methods of data intake, verification, and analysis. Other topics include legal issues, compensation, uses of technology to identify resources, information management, and current or emerging issues.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5400,Estate Planning for Families,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Fundamentals of the estate planning process, including estate settlement, estate and gift taxes, property ownership and transfer, and powers of appointment. Tools and techniques used in implementing an effective estate plan, ethical considerations used in providing estate planning services, and new and emerging issues in the field. Case studies provide experience in developing estate plans suitable for varied family forms.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5410,Housing and Real Estate in Family Financial Planning,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The role of housing and real estate in the family financial planning process, including taxation, mortgages, financial calculations, legal concerns, and ethical issues related to home ownership and real estate investments. Emphasis on emerging issues in the context of housing and real estate. Offered even-numbered years.",Summer,https://catalog.iastate.edu/azcourses/ffp/
FFP,5450,"Retirement Planning, Employee Benefits, and the Family",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Study of micro and macro considerations for retirement planning. Survey of various types of retirement plans, ethical considerations in providing retirement planning services, assessing and forecasting financial needs in retirement, and integration of retirement plans with government benefits.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5500,Military Personal Financial Readiness,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Overview of the topics relevant to the financial planning process that address the unique needs of military service members and their families.,"Fall, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5550,Insurance Planning for Families,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"In-depth study of risk management concepts, tools, and strategies for individuals and families, including life insurance; property and casualty insurance; liability insurance; accident, disability, health, and long-term care insurance; and government-subsidized programs. Current and emerging issues and ethical considerations relative to risk management. Case studies provide experience in selecting insurance products suitable for individuals and family, study of investment options for clients including common stocks, fixed income securities, convertible securities, and related choices. Relationships between investment options and employee/employer benefit plan choices. Current and emerging issues and ethics are included.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5650,Personal Income Taxation,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"In-depth information on income tax practices and procedures including tax regulations, tax return preparation, the tax audit processes, the appeals process, preparation for an administrative or judicial forum, and ethical considerations of taxation. New and emerging issues related to taxation. Family/individual case studies provide practice in applying and analyzing tax information and recommending appropriate tax strategies.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5700,Professional Practices in Financial Planning,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Challenges of managing financial planning practices including, but not limited to: business valuation, personnel, marketing, client services, ethics and technological applications. Relying both on a theoretical as well as an applied approach, students analyze case studies that provide relevant, practical exposure to practice management issues, with a strong emphasis on current research findings.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5830,Investing for the Family's Future,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Evaluation of investment markets for the household. Analysis of how families choose where to put their savings. Emphasis is on using the family's overall financial and economic goals to help inform investment choices.,Fall,https://catalog.iastate.edu/azcourses/ffp/
FFP,5900,Family Financial Planning Seminar,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Through a seminar format comprised of readings, guest lectures, collaborative case studies, peer interaction, and practical application, students will explore the rapidly growing and changing opportunities of sustainable, responsible, and impact investments.","Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5910,Practicum,3-6.,,,,True,Graduate Standing or Permission of Instructor,Supervised experience in family financial planning.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
FFP,5950,Financial Planning - Case Studies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Professional issues in financial planning, including ethical considerations, regulation and certification requirements, communication skills, and professional responsibility. Students are expected to utilize skills obtained in other courses and work experiences in the completion of personal finance case studies, the development of a targeted investment policy, and other related financial planning assignments.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ffp/
