subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
PR,2200,Principles of Public Relations,3.,Lecture 3.,,,,,"Introduction to public relations in business, government and non-profit organizations; functions, processes, and management; ethics, public opinion and theory.",,https://catalog.iastate.edu/azcourses/publicrelations/
PR,3010,Research and Strategic Planning for Advertising and Public Relations,3.,Lecture 3.,,,,ADVRT 2300 or PR 2200,Use of primary and secondary research methods utilizing conventional and online tools for development of successful strategic communications and campaign development for advertising and public relations.,,https://catalog.iastate.edu/azcourses/publicrelations/
PR,3050,Publicity Methods,3.,Lecture 3.,,,,ENGL 2500 ; Sophomore classification,Communication and publicity fundamentals and the use of media for publicity purposes. Not available to Greenlee School majors.,,https://catalog.iastate.edu/azcourses/publicrelations/
PR,3210,Public Relations Writing,3.,,,,,JLMC 1100 ; Minimum of C+ in JLMC 2010 ; Credit or concurrent enrollment in ADVRT 3010 / PR 3010,"Developing and writing public relations materials with an emphasis on media relations and news. Techniques addressed include media kits, brochures, newsletters, digital media and speeches.",,https://catalog.iastate.edu/azcourses/publicrelations/
PR,3240,Brand Storytelling,3.,Lecture 3.,,,,JLMC 2010,Combining critical journalism skills with persuasive tactics of public relations and advertising to tell inspiring brand stories. Introduction to transmedia storytelling that tells compelling stories shared with and by diverse audiences.,"Fall, Spring",https://catalog.iastate.edu/azcourses/publicrelations/
PR,3900,Professional Skills Development,1-3.,,,,True,(Minimum of C+ in JLMC 2010 ; JLMC major or ADVRT major or PR major or SMC major),Check with Greenlee School for course availability.No More Than 3 Credits In JLMC/ADVRT/ PR 3900 May Be Applied Toward Major Requirements For Graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/publicrelations/
PR,3910,Short Course Intensive,1.,Lecture 1.,,,True,,Focused short courses on timely concepts. Check with Greenlee School for course availability. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4200,Crisis Communication,3.,Lecture 3.,,,,PR 2200,"Public relations strategies and tactics for crisis situations to protect and recover an organization's reputation: public behavior in crisis, crisis assessment, crisis communication plan, media training for leaders and spokespersons, apology strategy, corporate social responsibility, rumor in social media and reputation management.",,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4240,Public Relations Campaigns,3.,Lecture 3.,,,,ADVRT 3010 or PR 3010; minimum of C+ in PR 3210,Developing public relations and public information campaigns for business and social institutions.,,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4730,Social Media Strategy,3.,Lecture 3.,,,,Sophomore classification,"The strategic use of social media, from both an advertising and public relationship standpoint, to the advantage of a client or organization. Examination and analysis of the social media space from a business perspective. Best practices in the areas of strategic planning, tactical execution, and measurement of social media platforms via online digital tools.","Fall, Spring",https://catalog.iastate.edu/azcourses/publicrelations/
PR,4900,Independent Study in Media and Communication,1-30.,,,,True,Junior or Senior classification; Instructor Permission,"Projects during which students may study problems associated with a medium, a professional specialization, a philosophical or practical concern, a reportorial method or writing technique, or a special topic in their field. Credit is not given for working on student or professional media without an accompanying research component. Graduation Restriction: No more than 3 credits of ADVRT/JLMC/PR/ SMC 4900 may be used toward a degree in the Greenlee School.",,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4970,Special Topics in Communication,1-3.,Lecture 3.,,,True,Junior classification,Seminars or one-time classes on topics of relevance to students in communication. See Schedule of Classes for topics.,,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4990A,Professional Media Internship: Required,3.,,,,,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Initial, required internship. A 400-hour (for 3 credits) internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/publicrelations/
PR,4990B,Professional Media Internship: Optional,1-3.,,,,True,([JLMC major; JLMC 1100 ; minimum of C+ in JLMC 3020 or JLMC 3030 ] or [ADVRT major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in JLMC 2010 ] or [PR major; JLMC 1100 ; ADVRT 3010 or PR 3010; minimum of C+ in PR 3210] or [SMC major; JLMC 1100 ; SMC 3040 ]); Advisor Approval,"Optional internship in the student's specialization. Assessment based on employer evaluations, student reports and faculty reviews. Available only to Greenlee School majors. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/publicrelations/
