subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
BME,1040,Biomedical Engineering First-Year Learning Community,Required.,Lecture 1.,,,,,Curriculum and career planning; academic course support for first-year students. Restricted to BME majors. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/bme/
BME,1600,Biomedical Engineering Problems with Computer Applications Laboratory,3.,,,,,Credit or enrollment in MATH 1650 or satisfactory (76+) score on mathematics placement exam,"Formulation and solution of engineering problems; significant figures; use of SI units; graphing and curve-fitting; flowcharting; introduction to material balances, statics, and electric circuits in the context of biomedical engineering problems; use of spreadsheet programs to solve and present engineering problems; solution of engineering problems using computer programming languages. Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CHE 1600 , CE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/bme/
BME,2010,Faculty-guided Professional Development in Biomedical Engineering,Required.,Lecture 1.,,,,,Professionalism in the context of Biomedical Engineering. Examination and selection of emphasis areas and electives in collaboration with a faculty mentor. Discussion of internships and research opportunities within Biomedical Engineering. . Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/bme/
BME,2200,Introduction to Biomedical Engineering,3.,Lecture 3.,,,,BIOL 2120 ; ( CHEM 1670 or CHEM 1770 ); ( ABE 1600 or AERE 1600 or BME 1600 or CE 1600 or CHE 1600 or CPRE 1850 or EE 1850 or ENGR 1600 or IE 1600 or ME 1600 or SE 1850); MATH 1660 ; PHYS 2320,"Engineering analysis of basic biology and engineering problems associated with living systems and health care delivery. The course will illustrate biomedical engineering applications in such areas as: biotechnology, biomechanics, biomaterials and tissue engineering, and biosignal and image processing, and will introduce the basic life sciences and engineering concepts associated with these topics.","Fall, Spring",https://catalog.iastate.edu/azcourses/bme/
BME,2700,Introduction to Biomedical Engineering Design,2.,,,,,"ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1480, ME 1600 , or SE 1850","Problem-based learning to introduce students to biomedical engineering design concepts, tools, and methodologies. Students will work in small groups and use computer-aided design (CAD), virtual design, and computational tools to propose and validate feasible solutions to real-world biomedical engineering problems with industrial and/or clinical relevance.",Spring,https://catalog.iastate.edu/azcourses/bme/
BME,3400,Computational Modeling in Biomedical Engineering,3.,Lecture 3.,,,,( MATH 2670 and BME 2200 ); credit or enrollment in MATH 2650,"Principles and techniques for computational analysis of biomedical engineering problems; computational methods for integration, differentiation, interpolation, curve fitting, data analysis, sampling and estimation, and error analysis; analysis of ordinary differential equations, symbolic computation, and scientific visualization.",Fall,https://catalog.iastate.edu/azcourses/bme/
BME,3410,BioMEMs and Nanotechnology,3.,Lecture 3.,,,,BME 2200,"Overview of Micro-Electro-Mechanical-System (MEMS) technologies for bioengineering, fundamentals of microfluidic device design, fabrication, and characterization, survey of microfluidic functional building blocks for lab-on-a-chip applications including mixers, valves, channels, and chambers. Topics of nanotechnology in bioengineering, nanoscale building block technologies for bioengineering including self-assembling, surface chemical treatment, nano-imprinting, nano-particles, nano-tubes, nano-wires, and stimuli-responsive biomaterials.",,https://catalog.iastate.edu/azcourses/bme/
BME,3500,Bioinstrumentation,4.,"Laboratory 4, Lecture 2.",,,,"PHYS 2320 , EE 4420 , and BME 2700","Introduction to medical devices, sensors, lab equipment, wearable devices, and imaging equipment that are commonly used to measure and analyze biological systems. Fundamental principles of biology, electronics, physics, and engineering that are required to design and build these bioinstruments. Basic concepts of biomedical signal analysis for medical diagnosis and health monitoring. Measurements and analysis of bioelectrical, biomechanical, and biophotonic signals. Simple design of instruments to address a specific biomedical problem.",Spring,https://catalog.iastate.edu/azcourses/bme/
BME,3520,Cellular and Tissue Biomechanics,3.,Lecture 3.,,,,BME 2200 ; MATE 2730,"Introduction to fundamental engineering mechanics with a focus on the human body. Application of continuum mechanics to both living and non-living systems; anatomy of the musculoskeletal system and connective tissue; laws of motion, free-body diagrams and simple force analysis of musculoskeletal system; range of movement, joint dislocation, bone deformity and fracture; biomechanical response of soft and hard tissues with emphasis on microstructure and mechanical properties; introduction to cellular mechanics and viscoelastic properties; and applications to biomedical engineering design.",,https://catalog.iastate.edu/azcourses/bme/
BME,3520L,Cellular and Tissue Biomechanics Lab,1.,Laboratory 3.,,,,Credit or enrollment in BME 3520 ; Biomedical Engineering Major,"Laboratory exercises and design projects with an emphasis on acquiring and analyzing biomechanical measurements; measurement of deformation, fracture and mechanical properties on both hard and soft tissue as well as on cells and soft biomaterial environments for cells; fluid mechanics measurements on systems that mimic the circulatory or respiratory systems; introduction to statistical significance and its relationship to biological variability.",Fall,https://catalog.iastate.edu/azcourses/bme/
