subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
DANCE,1200,Modern Dance I,1.,Laboratory 3.,,,,,"Introduction and practice of basic dance concepts, including preparatory techniques and guided creativity problems. No previous modern dance experience required. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,1300,Ballet I,1.,Laboratory 3.,,,,,"Introduction to the basic skills, vocabulary, and tradition of ballet with concentration on control and proper alignment. No previous ballet experience required. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,1400,Jazz I,1.,Laboratory 3.,,,,,Introduction to the modern jazz style with concentration on isolation and syncopation. No previous jazz experience required. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,1500,Tap Dance I,1.,Laboratory 3.,,,,,Instruction and practice in basic tap technique and terminology. No previous tap experience required. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/dance/
DANCE,1600,Ballroom Dance I,1.,Laboratory 2.,,,,,"Instruction and practice in foxtrot, waltz, swing, cha cha, rhumba, tango, and selected contemporary dances. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,1990,Dance Continuum,0.5-2.,Laboratory 30.,,,True,,"Advance registration required. Continued instruction and practice in either modern dance, recreational dance, ballet, jazz and/or compositional skills. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,2110,Fundamentals and Methods of Social and World Dance,1.,,,,,Physical Education Teacher Education Specialization,"Skill enhancement, teaching, progressions with emphasis on world and social dance. Designed for kinesiology and health majors, open to others.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,2200,Modern Dance Composition,2.,,,,,DANCE 1200 or Permission of Instructor,Theory and practice of the creative skills involved in solo and small group composition.,Fall,https://catalog.iastate.edu/azcourses/dance/
DANCE,2220,Modern Dance II,1.,Laboratory 3.,,,,DANCE 1200 or Permission of Instructor,"Dance techniques emphasizing strength, balance, endurance, rhythmic activity and extended combinations.",Fall,https://catalog.iastate.edu/azcourses/dance/
DANCE,2230,Modern Dance III,1.,Laboratory 3.,,,,DANCE 2220,Continued experience in dance techniques and extended combinations. Emphasis on maturation of skill and artistry. Exposure to a variety of modern dance technical styles.,Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,2240,Concert and Theatre Dance,0.5-2.,Laboratory 4.,,,True,,"Choreography, rehearsal, and performance in campus dance concerts and/or musical theatre productions. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,2320,Ballet II,1.,Laboratory 3.,,,,Instructor Permission for Course,"Technical skills in the classical movement vocabulary. Emphasis on alignment, techniques, sequence development, and performing quality.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,2330,Ballet III,1.,Laboratory 3.,,,,DANCE 2320,Concentration on technical proficiency at the intermediate level. Pointe work and partnering opportunities available.,Fall,https://catalog.iastate.edu/azcourses/dance/
DANCE,2420,Jazz II,1.,Laboratory 3.,,,,Instructor Permission for Course,Dance concepts within the jazz idiom. Instruction in extended movement sequences and artistic interpretation.,Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,2500,Yoga Movement,1.,Laboratory 2.,,,True,,"Mixed-level Hatha Yoga class that emphasizes Iyengar style yoga. Yoga Movement is designed for developing awareness and personal practice with yoga poses and relaxation techniques. Attention will be paid to postural alignment to safely develop strength, endurance, flexibility, balance, and reduce stress. The practice develops awareness and consciousness in the physical body to help unite body and mind. Class will include introduction to other somatic practices, asanas (poses), breathing practices, meditation, yoga philosophy and deep relaxation.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,2700,Dance Appreciation,3.,Lecture 3.,,,,,Introduction to the many forms and functions of dance in world cultures. Develop abilities to distinguish and analyze various dance styles. No dance experience required. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,3200,Sound and Movement,3.,"Laboratory 2, Lecture 2.",,,,,"Intermediate composition based on the relationship of movement to improvised sounds, rhythmic scores, and the musical works of composers from various periods.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,3600,History and Philosophy of Dance,3.,Lecture 3.,,,,,"Study of the history of dance from early to modern times with emphasis on the theories and philosophies of contemporary modern dance, dancers, and dance educators. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,3700,Advanced Studies in Dance,1-3.,,,,True,,"Advance registration required. Designed to meet special interests and talents of students to include both group and independent study in various aspects of dance as a performing art including production, choreography, and performance.","Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,3840,Teaching Children's Dance,2.,,,,,,"Content, experiences, and methods of a comprehensive dance program at the elementary school level. Theories and practice in guiding elementary school children in expressive movement experiences.",Spring,https://catalog.iastate.edu/azcourses/dance/
DANCE,3850,Methods of Teaching Dance,2.,,,,,,Methods and techniques of teaching social and world dance forms. Introduction to teaching educational modern dance.,Fall,https://catalog.iastate.edu/azcourses/dance/
DANCE,3860,Teaching Dance Technique and Composition,2.,,,,,DANCE 3200,"Teaching yoga, body therapies, mindfulness and dance composition to enhance the physical and mental performance of the individual.",,https://catalog.iastate.edu/azcourses/dance/
DANCE,4900A,Independent Study: Dance,1-3.,,,,True,Department Permission for Course,Independent study of problems or areas of interest in dance. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
DANCE,4900H,Independent Study in Dance - Honors,1-3.,,,,True,Permission of Instructor; Membership in the University Honors Program,Independent study of problems or areas of interest in dance for those admitted to the honors program.,"Fall, Spring",https://catalog.iastate.edu/azcourses/dance/
