subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SE,1010,Software Engineering Orientation,Required.,Lecture 1.,,,,,"Introduction to the procedures, policies, and resources of Iowa State University and the Software Engineering Program. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/s_e/
SE,1660,Careers in Software Engineering,Required.,Lecture 1.,,,,,"Overview of the nature and scope of the software engineering profession, relationship of coursework to careers, and program of study planning. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/s_e/
SE,1850,Problem Solving in Software Engineering,3.,"Lecture 2, Laboratory 2.",,,,Credit or concurrent enrollment in MATH 1430 (or satisfactory scores on mathematics placement examinations),"Introduction to software engineering and computer programming. Systematic thinking process for problem solving in the context of software engineering. Group problem solving. Solving software engineering problems and presenting solutions through computer programs, written documents and oral presentations. Introduction to principles of programming, software design, and extensive practice in design, writing, running, debugging, and reasoning about programs. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.",,https://catalog.iastate.edu/azcourses/s_e/
SE,1860,Problem Solving in Software Engineering II,1.,Laboratory 2.,,,,SE 1850,Group projects in software engineering. Work effectively in teams to solve problems and provide technical reports and presentations. Self-directed team based projects that are representative of problems faced by software engineers.,Spring,https://catalog.iastate.edu/azcourses/s_e/
SE,3090,Software Development Practices,3.,"Lecture 3, Discussion 1.",,,,Minimum of C- in ( COMS 2280 ; MATH 1650 ),"Practical introduction to methods for managing software development. Software engineering concepts, practices and tools. Requirements analysis, structured and object-oriented design, coding, testing, and maintenance. Software process models, software tools and environments. Programming projects that provide exposure to information management techniques, client/server model, networking and communication.","Fall, Spring",https://catalog.iastate.edu/azcourses/s_e/
SE,3170,Introduction to Software Testing,3.,Lecture 3.,,,,( COMS 2300 or CPRE 3100 ); ( COMS 3090 or SE 3090),"Basic principles and techniques for software testing. Test requirements and management. Test design techniques, evaluation metrics, model-based testing, unit testing, system and integration testing. Software testing tools and programming projects.",,https://catalog.iastate.edu/azcourses/s_e/
SE,3190,Construction of User Interfaces,3.,Lecture 3.,,,,COMS 2280,"Overview of user interface design. Evaluation and testing of user interfaces. Review of principles of object orientation, object oriented design and analysis using UML in the context of user interface design. Design of windows, menus and commands. Developing Web and Windows-based user-interfaces. Event-driven programming. Introduction to Frameworks and APIs for the construction of user interfaces.","Fall, Spring",https://catalog.iastate.edu/azcourses/s_e/
SE,3290,Software Project Management,3.,Lecture 3.,,,,COMS 3090,"Process-based software development. Capability Maturity Model (CMM). Project planning, cost estimation, and scheduling. Project management tools. Factors influencing productivity and success. Productivity metrics. Analysis of options and risks. Version control and configuration management. Inspections and reviews. Managing the testing process. Software quality metrics. Modern software engineering techniques and practices.",,https://catalog.iastate.edu/azcourses/s_e/
SE,3390,Software Architecture and Design,3.,Lecture 3.,,,,SE 3190,"Modeling and design of software at the architectural level. Architectural styles. Basics of model-driven architecture. Object-oriented design and analysis. Iterative development and unified process. Design patterns. Design by contract. Component based design. Product families. Measurement theory and appropriate use of metrics in design. Designing for qualities such as performance, safety, security, reliability, reusability, etc. Analysis and evaluation of software architectures. Introduction to architecture definition languages. Basics of software evolution, reengineering, and reverse engineering. Case studies. Introduction to distributed system software.",,https://catalog.iastate.edu/azcourses/s_e/
SE,3420,Principles of Programming Languages,3.,"Lecture 3, Discussion 1.",,,,Minimum of C- in COMS 2280 and MATH 1650 ; COMS 2300 or CPRE 3100,"Study of concepts in programming languages, especially functional programming concepts. Overview of major programming paradigms, their relationship, and tradeoffs among paradigms enabling sound choices of programming language for application-specific development. Programming projects.","Fall, Spring",https://catalog.iastate.edu/azcourses/s_e/
