subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
FIN,3010,Principles of Finance,3.,Lecture 3.,,,,ECON 1010 ; ACCT 2840,"Introduction to financial management with emphasis on corporate financing and investment decision making, time value of money, asset valuation, capital budgeting decision methods, cash budgeting, and financial markets.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fin/
FIN,3100,Corporate Finance,3.,Lecture 3.,,,,( FIN 3010 or MATH 2400 ) and STAT 2260 and (credit or enrollment in MATH 1510 or MATH 1600 or MATH 1650 ),Theory used in a firm's investment and financing decisions. Analysis of environment in which financial decisions are made; applications of analytical techniques to financial management problems.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fin/
FIN,3200,Investments,3.,Lecture 3.,,,,( FIN 3010 or MATH 2400 ) and STAT 2260 and (credit or enrollment in MATH 1510 or MATH 1600 or MATH 1650 ),"Introduction to securities and markets from the viewpoint of the individual investor. Emphasis on mechanics of trading, measurement of return and risk, behavior of security prices, valuation of stocks and bonds, mutual funds, portfolio selection techniques, and performance evaluation.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,3300,Financial Markets and Institutions,3.,Lecture 3.,,,,FIN 3010,Introduction to the structure and operations of the United States financial system and its markets and institutions. Emphasis on developing an integrated understanding of markets and financial service providers including global linkages.,"Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,3340,Introduction to Financial Technologies and Cryptocurrencies,3.,Lecture 3.,,,,FIN 3010,"Introduction to the emerging role of financial technologies and cryptocurrencies in the financial services industry and the impact these technologies are having in areas such as payment systems, financial regulation, crowdfunding, robotic investments, and cyber security. Explore the history and origins of crypto coins, markets for trading cryptocurrencies, and role of digital money as a medium of exchange and financial asset, including valuation, risk, and correlation with other investments.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,3610,Personal Risk Management and Insurance,3.,Lecture 3.,,,,FIN 3010 or MATH 2400,"Risk concepts and the use of insurance by individuals and families. Emphasis on the insurance mechanism and methods of dealing with income, property, and liability risks.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,3710,Real Estate Principles,3.,Lecture 3.,,,,ECON 1010 ..,"Legal, economic, social and financial aspects of real estate, including property rights, contracts, mortgage instruments, tax factors, brokerage, valuation, risk and return analysis, financing techniques, and investments.",Summer,https://catalog.iastate.edu/azcourses/fin/
FIN,4100,Corporate Financial Planning and Analysis,3.,Lecture 3.,,,,FIN 3100,"Advanced study of corporate financial planning and cash flow management. Major topics include strategic planning and budgeting, analysis of business performance, forecasting and modeling, and financial reporting.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4150,Business Financing Decisions,3.,Lecture 3.,,,,FIN 3100,"In depth study of the firm's external financing decision. Emphasis on the development of cash flow statements, projected financing needs and the selection of the appropriate financing instrument. Focus on case studies and application of developed techniques on actual field project.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/fin/
FIN,4240,Financial Futures and Options,3.,Lecture 3.,,,,FIN 3200 and ( STAT 3260 or STAT 3410 ),"Advanced study of pricing and using derivatives - instruments deriving value from fundamental items such as commodities, currency exchange rates, market indices, equities and bonds. Addresses basic building blocks of derivatives (i.e., forwards, futures, options and swaps) and relevant current topics and issues.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4250,Security Analysis and Portfolio Management,3.,Lecture 3.,,,,FIN 3200 and ( STAT 3260 or STAT 3410 ),"Advanced study of security analysis, security selection techniques and portfolio management. Emphasis on the applications of methods learned via the selection and evaluation of a portfolio of actual securities purchased in securities markets in the U.S. or abroad. Tracking and periodic reporting of the portfolio's performance relative to standard benchmarks is also required.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4260,Quantitative Investment Analysis,3.,Lecture 3.,,,,FIN 3200 and ( STAT 3260 or STAT 3410 ),"Introduction to the use of advanced statistical and machine learning techniques in the practice of portfolio construction. Topics include regularization and tree-based investment techniques, characteristic-based and trend-following investing, and multivariate GARCH analysis. Provides essential analytics training needed for investment management.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4270,Fixed Income Securities,3.,Lecture 3.,,,,FIN 3200,"Valuation of fixed income securities, including pricing conventions, term structure of interest rates, default, duration, and hedging of interest rate risk with derivatives. Analysis of bond market sectors, including treasury, agency, corporate, sovereign, municipal, and residential mortgage bonds.",,https://catalog.iastate.edu/azcourses/fin/
FIN,4280,Advanced Fixed Income Analysis and Portfolio Management,3.,Lecture 3.,,,,FIN 4270,"Advanced analysis of fixed income markets and securities, including valuation and trading of treasury securities, corporate bonds, mortgage backed securities. Analysis of structured financial securities, including CDO, CMBS, and ABS. Analysis of active and passive investment strategies for managing fixed income portfolios. Students are required to manage a fixed income portfolio for an institutional investor. A top-down approach to portfolio management is assumed, with active bets taken on market direction, duration, yield curve, and credit spreads.",,https://catalog.iastate.edu/azcourses/fin/
FIN,4310,New Venture Financing,3.,Lecture 3.,,,,FIN 3100 or [(ENSTP 3130 or MGMT 3130) and FIN 3010 ],"Exploration of the foundations of financing entrepreneurial companies. Emphasis on the roles of the entrepreneurs, venture capitalists, and limited partners in the full financing cycle of early-stage ventures, including pitching and raising capital, deal sourcing and due diligence, deal structuring, and post-investment management. Extensive use of case studies and interactive presentations to a mock investor-based board of directors to illustrate the key concepts and processes involved in start-up financing.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4350,"Venture Capital, Private Equity, and Mergers and Acquisitions",3.,Lecture 3.,,,,FIN 3100 and FIN 3200 and ( STAT 3260 or STAT 3410 ),"An advanced investments class that focuses on alternative investments. Topics include techniques for valuing public and private firms, venture capital finance, investment banking, private equity finance, leveraged buyouts, hedge funds, the structure and financing of mergers and acquisitions, and divestitures.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4430X,Introduction to Mathematical Finance,3.,Lecture 3.,,,,MATH 2650 and (MATH 2070 or MATH 3170),"Mathematics of financial engineering. Topics covered will include arbitrage principles, Captial Asset Pricing Model (CAPM) model and portfolio theory, futures and options contracts, and binomial asset pricing model. Introduction to some continuous time models, stochastic processes, and the Black-Scholes partial differential equation (PDE). Some background in differential equations ( MATH 2660 or MATH 2670 ) is recommended.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4450,Bank Management Decisions,3.,Lecture 3.,,,,FIN 3100 or FIN 3200 or FIN 3300 or ECON 3530,"Analysis of operations of depository financial institutions from management viewpoint. Emphasis on evaluating performance, policy formation, asset and liability management, the role of capital, and the operating environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4500,Analytical Methods in Finance,3.,Lecture 3.,,,,( STAT 3260 or STAT 3410 ) and ( FIN 3010 or ECON 3010 ),Applied empirical methods commonly employed in the analysis of firm and market data. Specific applications to financial and agricultural markets. Experiential learning experience using lectures with frequent in-class computer work sessions. Experience with financial and agricultural data sources. Application and interpretation of empirical techniques.,"Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4550,Risk Modeling,3.,Lecture 3.,,,,( FIN 3010 or MATH 2400 ); ( STAT 3260 or STAT 3410 ),"Introduction to predictive modeling and business analytics in the finance and insurance industry. Basic statistical/computing skills, analytical thinking, and business acumen. Develop practical data analytic skills based on building real analytic applications on real data.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4560,Financial Modeling,3.,Lecture 3.,,,,ACCT 2850 and FIN 3010 and ( STAT 3260 or STAT 3410 ),Applying computers to business applications especially using Excel in finance related work.,,https://catalog.iastate.edu/azcourses/fin/
FIN,4620,Corporate Risk Management and Insurance,3.,Lecture 3.,,,,FIN 3100,"Analysis of an organization's approaches to the management of price, credit, and pure risk. Emphasis on the consideration and selection of risk control and financing treatments and the decision making framework underlying the alternatives selected. Covers commercial insurance, self-insurance, and alternative financing arrangements.",Fall,https://catalog.iastate.edu/azcourses/fin/
FIN,4720,Real Estate Finance,3.,Lecture 3.,,,,FIN 3010 and ( STAT 3260 or STAT 3410 ),Introduction to the techniques of assessing the value of real estate and real estate financing instruments.,,https://catalog.iastate.edu/azcourses/fin/
FIN,4740,Real Estate Investment,3.,Lecture 3.,,,,( FIN 3710 or FIN 4270 or FIN 4720 ) and ( STAT 3260 or STAT 3410 ),"Introduction to theories and methods of investment analysis applied to real estate. Studies cash flow analysis, alternative measures of investment performance, the impact of the financing decision on real estate investment risks and return, and various real estate financing techniques. Covers cases involving more complex financing and capital markets tools used in real estate.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4800,International Finance,3.,Lecture 3.,,,,"FIN 3100 , FIN 3200 or FIN 3300","Advanced study of currency market equilibrium, use and analysis of currency derivatives, hedging currency risk, and additional topics, which could include multinational capital budgeting, taxation, raising capital internationally, international portfolio diversification, international capital market equilibrium, political and country risk, financing international trade, multinational corporate treasury management, and current issues.","Fall, Spring",https://catalog.iastate.edu/azcourses/fin/
FIN,4900,Independent Study,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/fin/
FIN,4910,International Study Course in Global Capital Markets,3.,,,,,,"European capital markets and multinational corporate finance with focus on banking, capital markets, and corporate finance in a particular European country. Exposure to European capital markets, the European Monetary Union and the banking system. Current and historical banking practices within the EU and how they changed since the EMU implementation. Understand financial decisions faced by firms located in the EU. Study banks, institutions, and companies in Europe to gain specific knowledge of their practices. Learn about the culture and general economy of Europe during the in country visit.",Spring,https://catalog.iastate.edu/azcourses/fin/
FIN,4920,Case Studies in Strategic Financial Decision-Making,1.,Lecture 1.,,,,FIN 3100 and FIN 3200,"Case based study of situations where companies need to strategically use equity financing. Focus on equity financing decisions at the different phases of a company's lifecycle, from raising private equity, to going public, to making significant acquisitions. Will also consider issues such as investor activism, governance, regulatory and valuation impact. Multiple guest speakers who are actively engaged in private equity and investment banking.",Fall,https://catalog.iastate.edu/azcourses/fin/
FIN,5010,Financial Valuation and Corporate Financial Decisions,3.,Lecture 3.,,,,Ivy College of Business graduate student or Engineering Management student or instructor permission,"Shareholder wealth maximization as the goal of the firm within a social responsibility context, financial Math, valuation of securities, the global financial market place as the test of value, estimation of cost of capital, global capital investment decisions, capital structure policy, working capital management.",,https://catalog.iastate.edu/azcourses/fin/
FIN,5100,Advanced Corporate Finance,3.,Lecture 3.,,,,FIN 5010 or Enrollment in the Master of Finance program,"Examines corporate financial decisions, including theory and associated empirical evidence. Topics include agency conflicts, corporate governance, executive compensation, becoming publicly traded, raising capital through public and private offerings, capital structure, financial distress and bankruptcy, leasing, dividend policy, corporate control, restructuring, and risk management.",,https://catalog.iastate.edu/azcourses/fin/
FIN,5150,Case Studies in Financial Decision Making,3.,Lecture 3.,,,,FIN 5010 or Enrollment in the Master of Finance program,"This course focuses on case studies to develop an integrated set of financial decisions. Topic areas include fixed asset, working capital, capital structure, dividend and merger/acquisition decisions. The objective of the course is to examine different firm settings and establish a framework within which to apply financial tools.",,https://catalog.iastate.edu/azcourses/fin/
FIN,5200,Investments,3.,Lecture 3.,,,,FIN 5010 or Enrollment in the Master of Finance program,"Analysis of risk and return for individual securities and portfolios of securities. Topics include the market environment, mechanics of trading, measurement of return and risk, valuation of stocks and bonds, mutual funds, optimal asset allocation, market efficiency, portfolio performance evaluation, and risk management.",,https://catalog.iastate.edu/azcourses/fin/
FIN,5260,Advanced Quantitative Investment Analysis,3.,Lecture 3.,,,,FIN 5200 or Permission of Instructor,"Study of the use of advanced statistical and machine learning techniques in the practice of portfolio construction. Topics include regularization and tree-based investment techniques, characteristic-based and trend-following investing, and multivariate GARCH analysis. Provides essential analytics training needed for quantitative investment management.",,https://catalog.iastate.edu/azcourses/fin/
