subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GERON,2340,Young Adulthood Through Later Life,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,"Exploration of the health, individual and social factors associated with adult development including emerging, younger, middle, and older adulthood. Information is presented from a biopsychosocial lens of change across the lifespan. .",Spring,https://catalog.iastate.edu/azcourses/geron/
GERON,3730,Death as a Part of Living,3.,Lecture 3.,,,,PSYCH 2300 or HDFS 1020,Consideration of death in the life span of the individual and the family with opportunity for exploration of personal and societal attitudes.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,3770,Aging and the Family,3.,Lecture 3.,,,,,"Interchanges of older adults and their families. Emphasis on role changes, social interaction, and independence as influenced by health, finances, lifestyles, and community support.","Fall, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,3780,Retirement Planning and Employee Benefits,3.,Lecture 3.,,,,,"Financial needs analysis for retirement, characteristics of employer-sponsored and individual retirement plans, tax implications of retirement plans, Social Security funding and benefits, strategies for meeting varying retirement needs in a diverse society, financial counseling and planning practice, and overview of employee benefits.",Spring,https://catalog.iastate.edu/azcourses/geron/
GERON,4660,Gerontology Prepracticum Seminar,1.,Lecture 1.,,,,,"Prepracticum training for students planning a gerontology practicum. Exploration of possible agencies for the practicum, in-depth study of a selected agency, and development of goals and objectives for the practicum.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,4670,Gerontology Practicum,3-6.,,,,True,,Supervised field experience related to aging. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,4900,Independent Study,1-30.,,,,,Instructor Permission for Course,Consult program coordinator for procedure.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,5010,Seminar,1-30.,Lecture 30.,,,True,Graduate Standing or Permission of Instructor,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,5010J,Gerontology Seminar: Gerontechnology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Gerontology Seminar: Gerontechnology.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,5010M,Gerontology Seminar: Spiritual & Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Gerontology Seminar: Spiritual & Aging.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,5100,Survey of Gerontology,1-3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,Provides an overview of important gerontological issues.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/geron/
GERON,5210,Biological Principles of Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basic biological principles of aging. Course modules include an introduction to the aging process, body systems and normal aging, and environment and the biology of aging. In addition, disorders and diseases of aging, prevention and treatment and exercise and aging topics will be covered.",Summer,https://catalog.iastate.edu/azcourses/geron/
GERON,5220,Long-Term Care,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Administration principles involved in the planning, organizing and directing of long-term care agencies. Includes an in-depth exposure to federal and state standards and regulations governinglong-term care.",Fall,https://catalog.iastate.edu/azcourses/geron/
GERON,5230,Mental Health and Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the range of issues involved in aging and mental health. From a systems framework the major emotional and psychiatric problems encountered in old age will be examined including mood, anxiety, adjustment and personality disorders, dementia, cognitive problems, substance abuse, and suicide. Barriers to treatment and cohort and cultural issues will be explored.",Spring,https://catalog.iastate.edu/azcourses/geron/
GERON,5240,Cognitive Health,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Cognitive skills form the foundation for functioning in everyday life and these skills take on added importance in older adulthood. This course focuses on selected theoretical approaches and current research related to cognitive aging. We will review normative and non-normative cognitive changes, assessment techniques, and prevention/intervention efforts. Throughout the course we will keep the role of environment and life-span implications in the forefront of our discussion.",Summer,https://catalog.iastate.edu/azcourses/geron/
GERON,5300,Perspectives in Gerontology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of current aging issues including theory and research, critical social and political issues in aging, the interdisciplinary focus of gerontology, career opportunities, and aging in the future.",Fall,https://catalog.iastate.edu/azcourses/geron/
GERON,5310,Foundations in Integrative Aging Studies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to foundational concepts in the interdisciplinary field of aging studies, including: core theories of adult development and aging how to be critical consumers of aging research; developing writing and other professional skills; and exploring career options in aging. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/geron/
GERON,5340,Adult Development,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Exploration of the biological, psychological and social factors associated with aging. Although the focus is on the later years, information is presented from a life-span developmental framework. Empirical studies are reviewed and their strengths, limitations and implications for normative and optimal functioning are discussed.",Spring,https://catalog.iastate.edu/azcourses/geron/
GERON,5400,Nutrition and Physical Activity in Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,WWW only. Basic physiologic changes during aging and their impacts in health and disease. The focus will be on successful aging with special emphasis on physical activity and nutrition. Practical application to community settings is addressed.,Fall,https://catalog.iastate.edu/azcourses/geron/
GERON,5450,"Economics, Public Policy, and Aging",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Policy development in the context of the economic status of the older adult population. Retirement planning and the retirement decisions; social security and public transfer programs; intra-family transfers to/from the aged; private pensions; financing medical care; prospects and issues for the future.,Fall,https://catalog.iastate.edu/azcourses/geron/
GERON,5630,Environments for the Aging,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Emphasis on independent living within residential settings including specialized shelter, supportive services and housing management. Application of criteria appropriate for accessibility and functional performance of activities; universal design principles. Creative project provides service learning opportunities.",Spring,https://catalog.iastate.edu/azcourses/geron/
