subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
JLMC,1010,Mass Media and Society,3.,Lecture 3.,,,,,"Communication theory models and their application to the mass media; the mass communication process; organization, characteristics and responsibilities of the mass media; media literacy process.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,1100,Orientation to Journalism and Communication,1.,Lecture 1.,,,,,Orientation to curriculum requirements in the Greenlee School and introduction to careers related to Greenlee majors. Introduction to professional and preprofessional opportunities. Offered on a satisfactory/fail basis only. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,1400,"Identity, Diversity and the Media",3.,Lecture 3.,,,,,"Understand perspectives and biases within journalism, advertising and public relations content, including content shared through social-media platforms. Analyze content generated by others. Topics include media literacy, source evaluation, portrayals of diverse groups, identification of diverse sources and strategies for reducing bias in media work. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,2010,Reporting and Writing for the Mass Media,3.,,,,,"(ADVRT, JLMC, PR, or SMC major; credit or enrollment in JLMC 1100 ) or Permission of Department","Gathering information and writing for Greenlee majors (ADVRT, JL MC, P R). Emphasis on analyzing and organizing information into written communication that is clear, concise, accurate and appropriate to platform. Developing skills in reporting, interviewing and research. Use of AP Style.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,2400,Principles of Journalism,3.,Lecture 3.,,,,,"Analysis of the journalism industry and specific audiences served by traditional media, including print and broadcast, as well as digital and emerging media. Introduction to core values of journalism in a democratic society and guiding principles that encompass a free press, media literacy, ethics, law, history, the economy and cultural and societal implications.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,2420,Visual Principles for Mass Communicators,3.,Lecture 3.,,,,,"Understanding and analysis of the visual message. Visual perception, visual communication theory, design syntax, design elements and how they are applied in mass communication.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,2600,Media Controversies in Science and Technology,3.,Lecture 3.,,,,,"Understanding science communication in the media. Exploring audience perceptions, media portrayals, underlying theories and social controversies related to communication of science and technology.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3020,Intermediate Reporting and Writing for the Mass Media,3.,,,,,JLMC 1100 and Minimum of C+ in JLMC 2010,"Researching, organizing and writing for newspapers, magazines and digital media. Enhancing and refining skills in developing sources and generating story ideas. Information-gathering techniques, reporting and writing.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3030,Writing for Electronic Media,3.,,,,,"JLMC 1100 ; minimum of C+ in JLMC 2010 ; ADVRT, JLMC, PR, or SMC major","Basic principles of written content creation across electronic media. Details the fundamental technical, conceptual, and stylistic issues related to writing non-fiction and fiction scripts for informational and entertainment purposes in electronic media.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3060,Broadcast Media Production,3.,,,,,Minimum of C+ in JLMC 2010,"Introduction to studio production using professional equipment. Course focus on visual concepts, maintenance and practical operation of studio equipment.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3070,Fundamentals of Digital Video Production,3.,,,,,,"Creation of video productions for use as communication tools in advertising, promotions, short documentaries and public relations. Technical and artistic fundamentals of video production including planning, scripting, shooting, lighting and digital editing.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3080,Electronic Media Production,3.,,,,,Minimum of C+ in JLMC 2010,Multiplatform techniques in single-camera video production used to create and deliver visual stories. Details professional strategies and standards for visual content creators for a multitude of platforms.,,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3100,Fundamentals of Photojournalism,3.,,,,,Minimum of C+ in JLMC 2010,"Basic photojournalism techniques. Includes camera operation, lighting, composition and photo reproduction techniques for print or computer-mediated applications. Emphasis on using the camera as a reporting tool. Basic use of digital imaging and editing software. Ethical issues involving photojournalism.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3110,Fundamentals of Mobile Photography,3.,Lecture 3.,,,,,"Basic photographic techniques for publication. Includes smartphone operation, lighting, composition and historical overview of photography and use in digital platforms. Basic use of image editing software. Ethical issues involving photo publication in media platforms. A smartphone camera is required.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3120,Advanced Techniques in Photojournalism,3.,,,,,JLMC 3100 or Permission of Instructor,"Advanced techniques and problem solving, both ethical and technical, for photographers who seek to be members of newsgathering teams. Photographic storytelling using a combination of audio and still photography techniques to report stories for print and web publications. Hands on experience with latest digital imaging technology. A digital SLR camera is required. Offered irregularly.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3150,Digital Storytelling,3.,,,,,JLMC 3080 or JLMC 3100 or JLMC 3160,"Identify and critically evaluate multimedia elements in journalistic storytelling. Produce audio, photographic and video story packages for a variety of outlets. Choose and work with appropriate digital tools. Learn economic, social and ethical issues that influence media today. Computer design proficiency recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3160,Visual Communication Design,3.,,,,,Minimum of C+ in JLMC 2010,"Beginning techniques in layout, photo editing, and vector artwork. Application of visual principles and creative problem-solving to digital, social media, and print design projects. Use of industry-standard tools such as Adobe Photoshop, Illustrator, and InDesign.","Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3170,Publishing for Mobile Devices,3.,,,,,JLMC 3160,"Creating, designing and publishing content for mobile devices through use of industry-standard tools. Exposure to animation and HTML. Computer design proficiency recommended.",Spring,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3440,Feature Writing,3.,,,,,"Minimum of C+ in JLMC 3020 , JLMC 3030 , or PR 3210","Reporting and writing short- and long-form feature stories for media across platforms. Focus on service journalism, personal essays, trend or conflict articles and personality profiles. Emphasis on immersion reporting. Majors may not apply both JLMC 3440 and ENGL 3030 toward graduation.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3460,Public Affairs Reporting,3.,,,,,"Minimum of C+ in JLMC 3020 , JLMC 3030 , or PR 3210","Reporting and writing about government, business, and other institutions; identification of and access to public records; investigative reporting techniques; developing major stories about government and nonprofit organizations; and ethical issues.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3470,Science Communication,3.,,,,,Junior or Senior Classification,"Understanding and practicing science communication. Emphasis on building skills to report on science topics, telling science stories using different kinds of media, and understanding factors that impact how different audiences interpret scientific information. Explorations of science communication products relevant to health, natural resources, social science, and technology.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3490,News and Feature Editing,3.,,,,,Minimum of C+ in JLMC 3020 OR JLMC 3030 OR PR 3210,"Editing content for multiple platforms, including websites, magazines, newspapers, and newsletters. Adapting material for audiences, including selection and organization of text and visuals, grammar, punctuation, usage, logic and accuracy. Designing print and online layouts. Using search engine optimization and social media to promote content.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3900,Professional Skills Development,1-3.,,,,True,(Minimum of C+ in JLMC 2010 ; JLMC major or ADVRT major or PR major or SMC major),Check with Greenlee School for course availability.No More Than 3 Credits In JLMC/ADVRT/ PR 3900 May Be Applied Toward Major Requirements For Graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,3910,Short Course Intensive,1.,Lecture 1.,,,True,,Focused short courses on timely concepts. Check with Greenlee School for course availability. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,4010,Mass Communication Theory,3.,Lecture 3.,,,,Junior classification,"Theory and research in mass communication processes and effects; the scientific process; methods of measuring, evaluating and reporting mass communication research.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,4060,Media Management,3.,Lecture 3.,,,,Junior classification,"Decision-making functions of media. Basic media market analysis, media organization and management, circulation and audience development, technological developments affecting management decisions, and relationships with labor and regulatory agencies that affect media operations.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,4140,Digital Newsroom,3.,,,,,Minimum of C+ in JLMC 3020 or JLMC 3030,"Developing in-depth reporting projects suitable for publication, using platforms appropriate to the projects.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,4600,Law of Mass Communication,3.,Lecture 3.,,,,( JLMC 1100 ; minimum of C+ in JLMC 2010 ; Junior classification) or Permission of Instructor,"First Amendment law, libel, privacy, obscenity, contempt, copyright, trademark, the Federal Communications Act; laws affecting advertising, legal publication, and other business activities of the media.",,https://catalog.iastate.edu/azcourses/jl_mc/
JLMC,4610,History of American Journalism,3.,Lecture 3.,,,,Junior classification,"Role of the mass media, including advertising and public relations, in shaping the social, economic and political history of America; impact of change in these areas on the development, traditions and philosophies of the media.",,https://catalog.iastate.edu/azcourses/jl_mc/
