subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
GLOBE,1100,Orientation,1.,Lecture 1.,,,,,"An introduction to Global Resource Systems (GRS) program. University and career acclimation, development of educational and professional skills, participation in GRS Learning Community. Assessed service-learning component.",Fall,https://catalog.iastate.edu/azcourses/globe/
GLOBE,1200,Geography of Global Resource Systems,3.,Lecture 3.,,,,,A survey of geographic concepts with a specific focus on the distribution of natural and human-generated resources and the demand for those resources on a global scale. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2010,Introduction to Global Resource Systems,3.,Lecture 3.,,,,,"A systematic analysis of natural, physical, and socio-economic resources. Examine ways communities prioritize, save, use, and invest in community resources to address their needs and wants in a sustainable way, and the global implications of resource systems decisions. Assessed service-learning component.","Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2110,Issues in Global Resource Systems,1.,Lecture 1.,,,True,,Discussion of topics of current importance in global resource systems. Graduation Restriction: A maximum of 4 credits of GLOBE 2110 may be used towards degree requirements. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2111X,Issues in Global Resource Systems and Animal Agriculture,1.,Lecture 1.,,,True,,Discussion of topics of current importance in global resource systems and global animal agriculture. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/globe/
GLOBE,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2210,Apprenticeship,Required.,,,,True,Approval by the Global Resource Systems Faculty Coordinator,"Practical work experience in approved domestic or international settings such as with a company, research laboratory, governmental agency or non-governmental organization. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2220X,Global Engagement,3.,Lecture 3.,,,,,"Engagement with social and political issues on a global scale. Contributions of individual action, non-governmental organizations, and governments to changing societal and international outcomes. Techniques for identifying and addressing problems around the world. Meets International Perspectives Requirement.",Fall,https://catalog.iastate.edu/azcourses/globe/
GLOBE,2900,Independent Study,1-2.,,,,True,Permission of the instructor and approval by the Global Resource Systems Faculty Coordinator,Independent study on topics of special interest to the student. Comprehensive report required. Intended primarily for first-year students and sophomores.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,2900H,Independent Study: Honors,1-2.,,,,True,Permission of the instructor and approval by the Global Resource Systems Faculty Coordinator; Membership in the University Honors Program,Independent study on topics of special interest to the student. Comprehensive report required. Intended primarily for first-year students and sophomores.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,3030,"Agricultural, Food and Natural Global Resource Systems",3.,Lecture 3.,,,,GLOBE 2010 and ECON 1010 or ECON 1020 or permission of instructor.,"In-depth analysis of the opportunities, constraints and consequences of agricultural, food and natural resource systems. Topics integrate global natural resources with agriculture and food systems, nutrition and health, sustainable development, and societal structures, including gender, migration and urbanization. Course content utilizes a systems approach.",Fall,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3040,Socio-Economic Global Resource Systems,3.,Lecture 3.,,,,GLOBE 2010 and ECON 1010 or ECON 1020 or permission of instructor.,"In-depth analysis of the opportunities, constraints and consequences of social, economic and political global resource systems. Topics integrate agriculture and food production, globalization, population, economic planning, energy, security, trade, and policy and their role in defining different world regions. Course content utilizes a systems approach.",Spring,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3200,Global Resource Systems Internship Preparation,1.,Lecture 1.,,,,Instructor Permission for Course,"Students enrolled in this course intend to enroll in GLOBE 3210 or 3220 in the following term. Topics provide a pre-departure orientation, including logistical, academic, cultural, and personal requirements for completion of an experiential supervised work experience.","Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,3210,Internship - Global,3-6.,,,,True,"GLOBE 3200 , Junior or Senior and enrollment in Global Resource Systems major; permission of the instructor and approval by the Global Resource Systems Faculty Coordinator",A supervised learning experience including an analysis of an international location's resource system via immersion in a foreign culture lasting at least five weeks. The experience should focus on the region and technical area consistent with the student's degree track. Course expenses paid by student. Graduation Restriction: A maximum of 12 credits of GLOBE 3210 and 3220 may be used for degree requirements. Meets International Perspectives Requirement.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,3220,Internship - United States,3-6.,,,,True,"GLOBE 3200 , Junior or Senior and enrollment in Global Resource Systems major; permission of the instructor and approval by the Global Resource Systems Faculty Coordinator",A supervised learning experience including an analysis of a domestic location's resource system via immersion in a different culture within the United States lasting at least five weeks. Designed for international students and for students who are not in a position to leave the United States. Course expenses paid by student. Graduation Restriction: A maximum of 12 credits of GLOBE 3210 and 3220 may be used for degree requirements.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,3300,Global Health Disparities,3.,Lecture 3.,,,,Undergraduate students who have earned 54 credits or more,"Historical and contemporary factors contributing to disparities in health outcomes for persons disadvantaged by income, location, ethnicity, sexual orientation, and abilities. Analysis and evaluation of health promotional materials, such as campaigns, and community-based interventions focused on reducing global health disparities. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3350,The Economics of Global Agricultural Food and Bio-energy,3.,Lecture 3.,,,,ECON 1010,"Applied economic analysis of the determinants of world agricultural production, marketing, and use in feed, food, fiber, biofuel, and other applications, and global food processing and consumption. Analysis of market case studies and various data on global agricultural production and transformation, land and resource use, demography, economic activity, nutrition and health trends. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3600,Global Health,3.,Lecture 3.,,,,BIOL 2110,"Explores human health across the world with particular emphasis on low- and lower-middle-income countries. Attention is given to the interconnectedness of health determinants, problems, and solutions found in global health, including the role of animals and the environment. Broad in scope, highlighting different cultures and the historical foundations of global health. Topics include colonialism, poverty, emerging diseases, climate change, biodiversity, one health, maternal and child health, HIV, malaria, urbanization, noncommunicable diseases and more. Current events will be a feature of all class meetings. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/globe/
GLOBE,3850,Economic Development,3.,Lecture 3.,,,,ECON 1020,"Current problems of developing countries, historical experiences and interrelationships betweendeveloped and developing countries, theories of economic growth and economic development,measurements and predictions of economic performance of developing countries, and alternativepolicies and reforms for economic development. Topics to include poverty, income inequality,population growth, and environmental and economic development. Meets InternationalPerspectives Requirement.",,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3890X,Agriculture and Global Politics,3.,Lecture 3.,,,,,"Political and governmental structures and institutions that regulate agriculture production and distribution in the United States and throughout the globe, including international agencies, nation-states, and non-governmental organizations. Agricultural politics and policies and their impact domestically and internationally.",Spring,https://catalog.iastate.edu/azcourses/globe/
GLOBE,3980,Cooperative Education,Required.,,,,,Permission of faculty coordinator for the major.,Students must complete GLOBE 3980 Cooperative Education Approval Form and register for GLOBE 3980 before commencing each work period. Work periods for students in cooperative education related to Global Resource Systems. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,4010,Senior Project,3.,,,,,Senior classification in Global Resource Systems,Research project in collaboration with faculty that complements and furthers a student's experiences from GLOBE 3210 and 3220 while simultaneously bringing into focus entire four-year experience. Student will write a research report and make either an oral or poster presentation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,4010H,Senior Project: Honors,3.,,,,,Senior classification in Global Resource Systems; Membership in the University Honors Program,Research project in collaboration with faculty that complements and furthers a student's experiences from GLOBE 3210 and 3220 while simultaneously bringing into focus entire four-year experience. Student will write a research report and make either an oral or poster presentation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/globe/
GLOBE,4020,Responses to Global Resource System Challenges,3.,Lecture 3.,,,,,"Capstone analysis of critical global resource challenges facing both developed and developing countries. Students will use research skills to investigate specific global resource issues and use communications skills to work as a team to integrate their research, develop an interdisciplinary perspective, and evaluate potential solutions to resource challenges.",Spring,https://catalog.iastate.edu/azcourses/globe/
GLOBE,4310X,Global Healthcare Delivery Systems,3.,Lecture 3.,,,,,"Exploration of structures and functions of healthcare delivery systems. Concepts, scope, challenges, and current strategies of existing health care delivery systems are discussed. Strategies to enhance healthcare delivery systems through case studies. Course content emphasis on low- and upper-middle income nations and utilizes systems approach.",Fall,https://catalog.iastate.edu/azcourses/globe/
